site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,prod_size,dev_stat,ore,gangue,work_type,hrock_type,arock_type
Red Dog mine,68.07,-162.83,NA,United States,Alaska,,B,"Zinc, Silver, Lead",Barium-Barite,"Gold, Copper, Barium-Barite",Surface-Underground,,Producer,"Barite, Boulangerite, Galena, Marcasite, Polybasite, Pyrite, Sphalerite, Tetrahedrite, Chalcopyrite",Quartz,Surface,"Black Shale,Chert",
Su-Lik,68.166,-163.205,NA,United States,Alaska,,B,"Zinc, Silver, Lead","Cadmium, Barium-Barite","Cadmium, Barium-Barite",Surface-Underground,,Prospect,"Boulangerite, Bournonite, Galena, Marcasite, Pyrite, Sphalerite, Barite","Calcite, Dolomite",Surface,Sandstone,Mudstone
Many Values Pegmatite Prospect,41.04952,-106.17495,NA,United States,Wyoming,Albany,B,"Mica, Beryllium, Tantalum","Garnet, REE, Niobium (Columbium)",Uranium,Surface,S,Past Producer,"Beryl, Tantalite, Muscovite",,Underground,Pegmatite,"Schist,Gneiss"
Democrat Hill deposit,38.10472,-105.36139,NA,United States,Colorado,Custer,B,"Potassium, Silver, Aluminum, Gold","Lead, Zinc",,Underground,N,Past Producer,"Alunite, Diaspore, Kaolinite, Pyrite, Galena, Sphalerite",Quartz,Surface/Underground,Rhyolite,Rhyolite
Adobe Walls Mine,29.47333,-103.55222,NA,United States,Texas,Brewster,M,Mercury,,Uranium,Underground,S,Past Producer,"Carnotite, Cinnabar","Calcite, Gypsum",Underground,Limestone,Trachyandesite
Golden Chest Mine,47.61857,-115.83622,NA,United States,Idaho,Shoshone,M,Gold,"Silver, Copper, Lead, Zinc, Tungsten",,Underground,S,Past Producer,"Gold, Sphalerite, Galena, Scheelite, Chalcopyrite","Quartz, Arsenopyrite, Pyrite, Ankerite, Sericite, Chlorite, Albite, Apatite, Specularite, Rutile",Underground,"Meta-Argillite,Quartzite",
Irish Rose Mine,32.1883,-108.0854,NA,United States,New Mexico,Luna,M,Tungsten,Beryllium,,Surface-Underground,S,Past Producer,"Beryl, Galena, Scheelite, Wolframite","Fluorite, Limonite, Muscovite, Pyrite, Wulfenite",Surface/Underground,Limestone,Rhyolite
Sunday Mine,38.396,-112.566,NA,United States,Utah,Beaver,M,Gold,Uranium,,Underground,S,Past Producer,Gold,"Pyrite, Quartz",Underground,"Rhyolite,Andesite",
Iron Pass Mine,38.62885,-113.1572,NA,United States,Utah,Millard,M,Iron,,,Underground,N,Prospect,Limonite,,Underground,Rhyolite,
Rough Rider,43.80472,-103.72139,NA,United States,South Dakota,Custer,M,"Silver, Gold",,,Underground,N,Past Producer,Sylvanite,"Quartz, Tetradymite",Surface/Underground,Schist,
