Name,Areas affected,Month,Day,Year,Wind Speed (mph),Pressure (hPa),Damages ($),Deaths
San Felipe,"Lesser Antilles, The Bahamas,United States East Coast, Atlantic Canada",September,13,1928,160,929,100000000,4000
Camaguey,"Lesser Antilles, Jamaica, Cayman Islands, Cuba, The Bahamas, Bermuda",November,5,1932,175,915,40000000,3103
New England,"Eastern United States, Southwestern Quebec",September,19,1938,160,940,306000000,682
Janet,"Lesser Antilles, Central America",September,27,1955,175,914,65800000,1023
Inez,"Greater Antilles, Florida, Mexico",September,28,1966,165,927,229000000,756
Camille,"Cuba, United States Gulf Coast",August,16,1969,175,900,1420000000,259
David,"The Caribbean, United States East coast",August,30,1979,175,924,1540000000,2068
Allen,"The Caribbean, Yucatin Peninsula, Mexico, South Texas",August,5,1980,190,899,1240000000,269
Gilbert,"Jamaica, Venezuela, Central America, Hispaniola, Mexico",September,13,1988,185,888,7100000000,318
Andrew,"The Bahamas, Florida, United States Gulf Coast",August,23,1992,175,922,26500000000,65
Mitch,"Central America, Yucatin Peninsula, South Florida",October,26,1998,180,905,6200000000,19325
Isabel,"Greater Antilles, Bahamas, Eastern United States, Ontario",September,11,2003,165,915,5370000000,51
Ivan,"The Caribbean, Venezuela, United States Gulf Coast",September,9,2004,165,910,23300000000,124
Katrina,"Bahamas, United States Gulf Coast",August,28,2005,175,902,1.25E+11,1836
Rita,"Cuba, United States Gulf Coast",September,21,2005,180,895,12000000000,125
Dean,"The Caribbean, Central America",August,18,2007,175,905,1760000000,45
Felix,"Nicaragua, Honduras",September,3,2007,175,929,720000000,133
Irma,"Cape Verde, The Caribbean, Virgin Islands, Cuba, Florida",September,5,2017,180,914,64800000000,138
Maria,"Lesser Antilles, Virgin Islands, Puerto Rico, Dominican Republic, Turks and Caicos Islands",September,18,2017,175,908,91600000000,3057
Dorian,"The Caribbean, The Bahamas, United States East Coast, Atlantic Canada, Greenland",September,1,2019,185,910,5000000000,84
Elena,"Cuba, Mississippi",September,1,1985,125,953,1300000000,9
Humberto,"Dominican Republic, Haiti, Cuba, The Bahamas, Florida, Bermuda",September,17,2019,125,950,25000000,2
Larry,"Bermuda, Newfoundland",September,4,2021,125,955,80000000,7
King,"Honduras, Florida, Alabama",October,8,1947,105,965,3260000,1
Baker,"Leeward Islands, Puerto Rico, Hispaniola, Cuba, United States Gulf Coast",August,18,1950,105,978,2500000,38
Able,"South Carolina, North Carolina, Virginia, Maryland",August,18,1952,100,980,21700000,3
Alice,Mexico,June,24,1954,110,975,2000000,56
Diane,"North Carolina, Pennsylvania, New York, New Jersey, New England",August,7,1955,105,969,754700000,184
Katie,"Central America, Dominican Republic, Hispaniola, Puerto Rico, Cuba, Bahamas, Dominica",October,14,1955,110,984,200,7
Greta,"Cuba, Bahamas, Florida, Guadeloupe",October,31,1956,100,970,3580000,1
Ella,"Haiti, Dominican Republic, Cuba, Louisiana, Texas",August,30,1958,110,983,100,37
Janice,"Jamaica, Cuba, Bahamas",October,4,1958,100,968,200,9
Anna,"Windward Islands, Colombia, Venezuela, Central America, Jamaica",July,20,1961,105,976,300,1
Daisy,"Leeward Islands, Bermuda, New England, Atlantic Canada",September,29,1962,105,963,1100000,32
Edith,"Lesser Antilles, Puerto Rico, Hispaniola, Turks and Caicos Islands, Bahamas",September,23,1963,100,990,46600000,10
Ginny,"Hispaniola, Turks and Caicos Islands, The Bahamas, United States East Coast, Nova Scotia, Newfoundland",October,17,1963,110,948,500,5
Ginger,"Bahamas, North Carolina",September,6,1971,110,959,10000000,1
Fifi,"Hispaniola, Jamaica, Mexico, Central America",September,14,1974,110,971,1800000000,8210
Dean,"Leeward Islands, Bermuda, North Carolina, Newfoundland",July,31,1989,105,968,8900000,0
1928 Haiti hurricane,"Windward Islands, Leeward Islands, Gulf Coast of the United States",August,7,1928,90,998,2000000,210
Dog,"Martinique, Saint Lucia, Hispaniola, Jamaica",August,27,1951,90,992,3000000,7
Barbara,"United States East Coast, Atlantic Canada",August,11,1953,90,973,1300000,9
Hazel,"Florida, Sable Island",October,7,1953,85,980,250,0
Alice,"Saba, Anguilla, Lesser Antilles",December,30,1955,90,980,623,0
Gladys,"Western Mexico, Yucatin Peninsula",September,3,1955,90,996,500,0
Anna,Mexico,July,25,1956,85,991,50,0
Flossy,"Yucatin Peninsula, Louisiana, Mississippi, Alabama, Florida, Georgia, South Carolina, North Carolina, Virginia",September,20,1956,90,974,24900000,15
Escuminac (Three),"Florida, Atlantic Canada",June,18,1959,85,974,2500000,35
Cindy,"The Carolinas, Mid-Atlantic states, New England, Canadian Maritime Provinces",July,4,1959,75,996,75,6
