code,rank,country, gdp 
USA,1,United States,19485394
CHN,2,China,12237700
JPN,3,Japan,4872415
DEU,4,Germany,3693204
IND,5,India,2650725
GBR,6,United Kingdom,2637866
FRA,7,France,2582501
BRA,8,Brazil,2053595
ITA,9,Italy,1943835
CAN,10,Canada,1647120
RUS,11,Russian Federation,1578417
KOR,12,"Korea, Rep.",1530751
AUS,13,Australia,1323421
ESP,14,Spain,1314314
MEX,15,Mexico,1150888
IDN,16,Indonesia,1015421
TUR,17,Turkey,851549
NLD,18,Netherlands,830573
SAU,19,Saudi Arabia,686738
CHE,20,Switzerland,678965
ARG,21,Argentina,637430
SWE,22,Sweden,535607
POL,23,Poland,526466
BEL,24,Belgium,494764
THA,25,Thailand,455303
IRN,26,"Iran, Islamic Rep.",454013
AUT,27,Austria,416836
NOR,28,Norway,399489
ARE,29,United Arab Emirates,382575
NGA,30,Nigeria,375745
ISR,31,Israel,353268
ZAF,32,South Africa,348872
HKG,33,"Hong Kong SAR, China",341449
IRL,34,Ireland,331430
DNK,35,Denmark,329866
SGP,36,Singapore,323907
MYS,37,Malaysia,314710
COL,38,Colombia,314458
PHL,39,Philippines,313595
PAK,40,Pakistan,304952
CHL,41,Chile,277076
FIN,42,Finland,252302
BGD,43,Bangladesh,249724
EGY,44,"Egypt, Arab Rep.",235369
VNM,45,Vietnam,223780
PRT,46,Portugal,219308
CZE,47,Czech Republic,215914
ROU,48,Romania,211884
PER,49,Peru,211389
NZL,50,New Zealand,204139
GRC,51,Greece,203086
IRQ,52,Iraq,192061
DZA,53,Algeria,167555
QAT,54,Qatar,166929
KAZ,55,Kazakhstan,162887
HUN,56,Hungary,139761
AGO,57,Angola,122124
KWT,58,Kuwait,120126
SDN,59,Sudan,117488
UKR,60,Ukraine,112154
MAR,61,Morocco,109709
ECU,62,Ecuador,104296
PRI,63,Puerto Rico,103961
CUB,64,Cuba,96851
SVK,65,Slovak Republic,95618
LKA,66,Sri Lanka,87357
ETH,67,Ethiopia,80561
KEN,68,Kenya,79263
DOM,69,Dominican Republic,75932
GTM,70,Guatemala,75620
OMN,71,Oman,70784
MMR,72,Myanmar,67069
LUX,73,Luxembourg,62316
PAN,74,Panama,62284
GHA,75,Ghana,58997
BGR,76,Bulgaria,58221
CRI,77,Costa Rica,57286
URY,78,Uruguay,56157
HRV,79,Croatia,55213
BLR,80,Belarus,54456
LBN,81,Lebanon,53577
TZA,82,Tanzania,53321
MAC,83,"Macao SAR, China",50361
UZB,84,Uzbekistan,49677
SVN,85,Slovenia,48770
LTU,86,Lithuania,47544
SRB,87,Serbia,41432
AZE,88,Azerbaijan,40748
JOR,89,Jordan,40068
TUN,90,Tunisia,39952
PRY,91,Paraguay,39667
LBY,92,Libya,38108
TKM,93,Turkmenistan,37926
