REGION,SALARY,YEAR
ACEH,128000,1997
SUMATERA UTARA,151000,1997
SUMATERA BARAT,119000,1997
RIAU,151500,1997
JAMBI,119500,1997
SUMATERA SELATAN,127500,1997
BENGKULU,127500,1997
LAMPUNG,126000,1997
KEP. RIAU,235000,1997
DKI JAKARTA,172500,1997
JAWA BARAT,172500,1997
JAWA TENGAH,113000,1997
DI YOGYAKARTA,106500,1997
JAWA TIMUR,132500,1997
BALI,141500,1997
NUSA TENGGARA BARAT,108000,1997
NUSA TENGGARA TIMUR,106000,1997
KALIMANTAN BARAT,126500,1997
KALIMANTAN TENGAH,138000,1997
KALIMANTAN SELATAN,125000,1997
KALIMANTAN TIMUR,153000,1997
SULAWESI UTARA,118000,1997
SULAWESI TENGAH,106500,1997
SULAWESI SELATAN,112500,1997
SULAWESI TENGGARA,121000,1997
MALUKU,136000,1997
PAPUA,170000,1997
INDONESIA,135000,1997
ACEH,147000,1998
SUMATERA UTARA,174000,1998
SUMATERA BARAT,137000,1998
RIAU,174000,1998
JAMBI,137500,1998
SUMATERA SELATAN,146500,1998
BENGKULU,146500,1998
LAMPUNG,145000,1998
KEP. BANGKA BELITUNG,146500,1998
KEP. RIAU,174000,1998
DKI JAKARTA,198500,1998
JAWA BARAT,176800,1998
JAWA TENGAH,130000,1998
DI YOGYAKARTA,122500,1998
JAWA TIMUR,143000,1998
BANTEN,176800,1998
BALI,162500,1998
NUSA TENGGARA BARAT,124000,1998
NUSA TENGGARA TIMUR,122500,1998
KALIMANTAN BARAT,145500,1998
KALIMANTAN TENGAH,158500,1998
KALIMANTAN SELATAN,144000,1998
KALIMANTAN TIMUR,176000,1998
SULAWESI UTARA,135500,1998
SULAWESI TENGAH,122500,1998
SULAWESI SELATAN,129500,1998
SULAWESI TENGGARA,139000,1998
GORONTALO,135500,1998
MALUKU,156500,1998
MALUKU UTARA,156500,1998
PAPUA,195500,1998
INDONESIA,150900,1998
ACEH,171000,1999
SUMATERA UTARA,210000,1999
SUMATERA BARAT,160000,1999
RIAU,218000,1999
JAMBI,150000,1999
SUMATERA SELATAN,170000,1999
BENGKULU,150000,1999
LAMPUNG,160000,1999
KEP. BANGKA BELITUNG,170000,1999
KEP. RIAU,218000,1999
DKI JAKARTA,231000,1999
JAWA BARAT,208800,1999
JAWA TENGAH,153000,1999
DI YOGYAKARTA,130000,1999
JAWA TIMUR,170500,1999
BANTEN,208800,1999
BALI,187000,1999
NUSA TENGGARA BARAT,145000,1999
NUSA TENGGARA TIMUR,143000,1999
KALIMANTAN BARAT,175000,1999
KALIMANTAN TENGAH,195000,1999
KALIMANTAN SELATAN,166000,1999
KALIMANTAN TIMUR,194000,1999
SULAWESI UTARA,155000,1999
SULAWESI TENGAH,150000,1999
SULAWESI SELATAN,148000,1999
SULAWESI TENGGARA,160000,1999
GORONTALO,155000,1999
MALUKU,180000,1999
MALUKU UTARA,180000,1999
PAPUA,225000,1999
INDONESIA,175400,1999
ACEH,265000,2000
SUMATERA UTARA,254000,2000
SUMATERA BARAT,200000,2000
RIAU,250700,2000
JAMBI,173000,2000
SUMATERA SELATAN,190000,2000
BENGKULU,173000,2000
LAMPUNG,192000,2000
KEP. BANGKA BELITUNG,190000,2000
KEP. RIAU,300000,2000
DKI JAKARTA,286000,2000
JAWA BARAT,230000,2000
JAWA TENGAH,185000,2000
DI YOGYAKARTA,194500,2000
JAWA TIMUR,214500,2000
BANTEN,230000,2000
BALI,214000,2000
NUSA TENGGARA BARAT,180000,2000
NUSA TENGGARA TIMUR,184000,2000
KALIMANTAN BARAT,228000,2000
KALIMANTAN TENGAH,285000,2000
KALIMANTAN SELATAN,200000,2000
KALIMANTAN TIMUR,233000,2000
SULAWESI UTARA,186000,2000
SULAWESI TENGAH,203000,2000
SULAWESI SELATAN,200000,2000
SULAWESI TENGGARA,210000,2000
GORONTALO,186000,2000
MALUKU,180000,2000
MALUKU UTARA,180000,2000
PAPUA,315000,2000
INDONESIA,216500,2000
ACEH,300000,2001
SUMATERA UTARA,340500,2001
SUMATERA BARAT,250000,2001
RIAU,329000,2001
JAMBI,245000,2001
SUMATERA SELATAN,255000,2001
BENGKULU,240000,2001
LAMPUNG,240000,2001
KEP. BANGKA BELITUNG,255000,2001
KEP. RIAU,421500,2001
DKI JAKARTA,426300,2001
JAWA BARAT,245000,2001
JAWA TENGAH,245000,2001
DI YOGYAKARTA,237500,2001
JAWA TIMUR,220000,2001
BANTEN,245000,2001
BALI,309800,2001
NUSA TENGGARA BARAT,240000,2001
NUSA TENGGARA TIMUR,275000,2001
KALIMANTAN BARAT,304500,2001
KALIMANTAN TENGAH,362000,2001
KALIMANTAN SELATAN,295000,2001
KALIMANTAN TIMUR,300000,2001
SULAWESI UTARA,372000,2001
SULAWESI TENGAH,245000,2001
SULAWESI SELATAN,300000,2001
SULAWESI TENGGARA,275000,2001
GORONTALO,372000,2001
MALUKU,230000,2001
MALUKU UTARA,230000,2001
PAPUA,400000,2001
INDONESIA,290500,2001
ACEH,330000,2002
SUMATERA UTARA,464000,2002
SUMATERA BARAT,385000,2002
RIAU,394000,2002
JAMBI,304000,2002
SUMATERA SELATAN,331500,2002
BENGKULU,295000,2002
LAMPUNG,310000,2002
KEP. BANGKA BELITUNG,345000,2002
KEP. RIAU,421500,2002
DKI JAKARTA,591300,2002
JAWA BARAT,280800,2002
JAWA TENGAH,314500,2002
DI YOGYAKARTA,321800,2002
JAWA TIMUR,245000,2002
BANTEN,360000,2002
BALI,341000,2002
NUSA TENGGARA BARAT,320000,2002
NUSA TENGGARA TIMUR,330000,2002
KALIMANTAN BARAT,380000,2002
KALIMANTAN TENGAH,362000,2002
KALIMANTAN SELATAN,377500,2002
KALIMANTAN TIMUR,500000,2002
SULAWESI UTARA,438000,2002
SULAWESI TENGAH,350000,2002
SULAWESI SELATAN,375000,2002
SULAWESI TENGGARA,325000,2002
GORONTALO,375000,2002
MALUKU,285000,2002
MALUKU UTARA,322000,2002
PAPUA,530000,2002
INDONESIA,362700,2002
ACEH,425000,2003
SUMATERA UTARA,505000,2003
SUMATERA BARAT,435000,2003
RIAU,437500,2003
JAMBI,390000,2003
SUMATERA SELATAN,403500,2003
BENGKULU,330000,2003
LAMPUNG,350000,2003
KEP. BANGKA BELITUNG,379500,2003
KEP. RIAU,421500,2003
DKI JAKARTA,631600,2003
JAWA BARAT,320000,2003
JAWA TENGAH,340400,2003
DI YOGYAKARTA,360000,2003
JAWA TIMUR,274000,2003
BANTEN,475000,2003
BALI,410000,2003
NUSA TENGGARA BARAT,375000,2003
NUSA TENGGARA TIMUR,350000,2003
KALIMANTAN BARAT,400000,2003
KALIMANTAN TENGAH,425000,2003
KALIMANTAN SELATAN,425000,2003
KALIMANTAN TIMUR,540000,2003
SULAWESI UTARA,495000,2003
SULAWESI TENGAH,410000,2003
SULAWESI SELATAN,415000,2003
SULAWESI TENGGARA,390000,2003
GORONTALO,410000,2003
MALUKU,370000,2003
MALUKU UTARA,370000,2003
PAPUA,600000,2003
INDONESIA,414700,2003
ACEH,550000,2004
SUMATERA UTARA,537000,2004
SUMATERA BARAT,480000,2004
RIAU,476900,2004
JAMBI,425000,2004
SUMATERA SELATAN,460000,2004
BENGKULU,363000,2004
LAMPUNG,377500,2004
KEP. BANGKA BELITUNG,447900,2004
KEP. RIAU,421500,2004
DKI JAKARTA,671600,2004
JAWA BARAT,366500,2004
JAWA TENGAH,365000,2004
DI YOGYAKARTA,365000,2004
JAWA TIMUR,310000,2004
BANTEN,515000,2004
BALI,425000,2004
NUSA TENGGARA BARAT,412500,2004
NUSA TENGGARA TIMUR,400000,2004
KALIMANTAN BARAT,420000,2004
KALIMANTAN TENGAH,482300,2004
KALIMANTAN SELATAN,482200,2004
KALIMANTAN TIMUR,572700,2004
SULAWESI UTARA,545000,2004
SULAWESI TENGAH,450000,2004
SULAWESI SELATAN,455000,2004
SULAWESI TENGGARA,470000,2004
GORONTALO,430000,2004
MALUKU,450000,2004
MALUKU UTARA,400000,2004
PAPUA,650000,2004
INDONESIA,458500,2004
ACEH,620000,2005
SUMATERA UTARA,600000,2005
SUMATERA BARAT,540000,2005
RIAU,551500,2005
JAMBI,485000,2005
SUMATERA SELATAN,503700,2005
BENGKULU,430000,2005
LAMPUNG,405000,2005
KEP. BANGKA BELITUNG,560000,2005
KEP. RIAU,557000,2005
DKI JAKARTA,711843,2005
JAWA BARAT,408260,2005
JAWA TENGAH,390000,2005
DI YOGYAKARTA,400000,2005
JAWA TIMUR,340000,2005
BANTEN,585000,2005
BALI,447500,2005
NUSA TENGGARA BARAT,475000,2005
NUSA TENGGARA TIMUR,450000,2005
KALIMANTAN BARAT,445200,2005
KALIMANTAN TENGAH,523698,2005
