Month,Coconut Oil Price,Coconut Oil Price Change,Olive Oil Price,Olive Oil Price Change,Palm Kernel Oil Price,Palm Kernel Oil Price Change,Palm Oil Price,Palm Oil Price Change,Peanut Oil Price,Peanut Oil Price Change,Rapeseed Oil Price,Rapeseed Oil Price Change,Soybean Oil Price,Soybean Oil Price Change,Sunflower Oil Price,Sunflower Oil Price Change
Aug 1992,494.00,-,"3,490.25",-,,,382.00,-,600.00,-,,,409.00,-,,
Sep 1992,501.00,1.42%,"3,342.78",-4.23%,,,391.00,2.36%,562.00,-6.33%,,,421.00,2.93%,,
Oct 1992,493.00,-1.60%,"2,986.24",-10.67%,,,396.00,1.28%,565.00,0.53%,,,418.00,-0.71%,,
Nov 1992,496.00,0.61%,"2,747.90",-7.98%,,,413.00,4.29%,575.00,1.77%,,,437.00,4.55%,,
Dec 1992,461.00,-7.06%,"2,793.15",1.65%,,,401.00,-2.91%,622.00,8.17%,,,436.00,-0.23%,,
Jan 1993,444.00,-3.69%,"2,757.83",-1.26%,,,410.00,2.24%,621.00,-0.16%,,,444.00,1.83%,,
Feb 1993,439.00,-1.13%,"2,587.66",-6.17%,,,425.00,3.66%,611.00,-1.61%,,,433.00,-2.48%,,
Mar 1993,427.00,-2.73%,"2,628.83",1.59%,,,408.00,-4.00%,602.00,-1.47%,,,438.00,1.15%,,
Apr 1993,402.00,-5.85%,"2,783.90",5.90%,,,392.00,-3.92%,623.00,3.49%,,,448.00,2.28%,,
May 1993,418.00,3.98%,"2,787.13",0.12%,,,371.00,-5.36%,685.00,9.95%,,,448.00,0.00%,,
Jun 1993,436.00,4.31%,"2,721.53",-2.35%,,,356.00,-4.04%,712.00,3.94%,,,461.00,2.90%,,
Jul 1993,460.00,5.50%,"2,694.24",-1.00%,,,362.00,1.69%,773.00,8.57%,,,505.00,9.54%,,
Aug 1993,455.00,-1.09%,"2,685.46",-0.33%,,,356.00,-1.66%,858.00,11.00%,,,483.00,-4.36%,,
Sep 1993,424.00,-6.81%,"2,743.60",2.16%,,,352.00,-1.12%,845.00,-1.52%,,,489.00,1.24%,,
Oct 1993,419.00,-1.18%,"2,706.44",-1.35%,,,333.00,-5.40%,807.00,-4.50%,,,491.00,0.41%,,
Nov 1993,464.00,10.74%,"2,665.22",-1.52%,,,357.00,7.21%,808.00,0.12%,,,536.00,9.16%,,
Dec 1993,615.00,32.54%,"2,681.78",0.62%,,,411.00,15.13%,924.00,14.36%,,,589.00,9.89%,,
Jan 1994,595.00,-3.25%,"2,686.82",0.19%,,,404.00,-1.70%,993.00,7.47%,,,602.00,2.21%,,
Feb 1994,573.00,-3.70%,"2,661.50",-0.94%,,,387.00,-4.21%,"1,011.00",1.81%,,,577.00,-4.15%,,
Mar 1994,539.00,-5.93%,"2,683.40",0.82%,,,395.00,2.07%,"1,013.00",0.20%,,,586.00,1.56%,,
Apr 1994,560.00,3.90%,"2,668.77",-0.55%,,,434.00,9.87%,"1,030.00",1.68%,,,584.00,-0.34%,,
May 1994,599.00,6.96%,"2,705.24",1.37%,,,488.00,12.44%,"1,020.00",-0.97%,,,594.00,1.71%,,
Jun 1994,608.00,1.50%,"2,744.46",1.45%,,,508.00,4.10%,"1,014.00",-0.59%,,,571.00,-3.87%,,
Jul 1994,579.00,-4.77%,"3,553.91",29.49%,,,494.00,-2.76%,"1,017.00",0.30%,,,560.00,-1.93%,,
Aug 1994,596.00,2.94%,"3,548.05",-0.16%,,,575.00,16.40%,"1,018.00",0.10%,,,600.00,7.14%,,
Sep 1994,622.00,4.36%,"3,596.26",1.36%,,,614.00,6.78%,"1,018.00",0.00%,,,672.00,12.00%,,
Oct 1994,621.00,-0.16%,"3,694.03",2.72%,,,616.00,0.33%,"1,029.00",1.08%,,,642.00,-4.46%,,
Nov 1994,706.00,13.69%,"3,656.24",-1.02%,,,707.00,14.77%,"1,048.00",1.85%,,,706.00,9.97%,,
Dec 1994,692.00,-1.98%,"3,587.45",-1.88%,,,719.00,1.70%,"1,062.00",1.34%,,,693.00,-1.84%,,
Jan 1995,622.00,-10.12%,"3,622.27",0.97%,,,655.00,-8.90%,"1,054.00",-0.75%,,,674.00,-2.74%,,
Feb 1995,636.00,2.25%,"3,772.18",4.14%,,,661.00,0.92%,"1,025.00",-2.75%,,,663.00,-1.63%,,
Mar 1995,632.00,-0.63%,"4,161.09",10.31%,,,687.00,3.93%,990.00,-3.41%,,,652.00,-1.66%,,
Apr 1995,619.00,-2.06%,"4,503.83",8.24%,,,625.00,-9.02%,981.00,-0.91%,,,610.00,-6.44%,,
May 1995,616.00,-0.48%,"4,446.18",-1.28%,,,611.00,-2.24%,973.00,-0.82%,,,595.00,-2.46%,,
Jun 1995,668.00,8.44%,"4,465.47",0.43%,,,631.00,3.27%,965.00,-0.82%,,,611.00,2.69%,,
Jul 1995,693.00,3.74%,"4,624.57",3.56%,,,655.00,3.80%,969.00,0.41%,,,626.00,2.45%,,
Aug 1995,686.00,-1.01%,"4,591.11",-0.72%,,,616.00,-5.95%,980.00,1.14%,,,616.00,-1.60%,,
Sep 1995,677.00,-1.31%,"4,749.52",3.45%,,,586.00,-4.87%,981.00,0.10%,,,614.00,-0.32%,,
Oct 1995,718.00,6.06%,"4,973.13",4.71%,,,615.00,4.95%,990.00,0.92%,,,638.00,3.91%,,
Nov 1995,750.00,4.46%,"5,082.29",2.20%,,,607.00,-1.30%,995.00,0.51%,,,623.00,-2.35%,,
Dec 1995,718.00,-4.27%,"5,002.53",-1.57%,,,590.00,-2.80%,988.00,-0.70%,,,579.00,-7.06%,,
Jan 1996,711.00,-0.97%,"5,509.12",10.13%,686.00,-,535.00,-9.32%,959.00,-2.94%,,,554.00,-4.32%,,
Feb 1996,738.00,3.80%,"6,067.63",10.14%,716.00,4.37%,518.00,-3.18%,925.00,-3.55%,,,548.00,-1.08%,,
Mar 1996,723.00,-2.03%,"6,032.36",-0.58%,715.00,-0.14%,519.00,0.19%,911.00,-1.51%,,,538.00,-1.82%,,
Apr 1996,756.00,4.56%,"5,909.79",-2.03%,755.00,5.59%,562.00,8.29%,895.00,-1.76%,,,582.00,8.18%,,
May 1996,778.00,2.91%,"5,906.63",-0.05%,775.00,2.65%,552.00,-1.78%,897.00,0.22%,,,591.00,1.55%,,
Jun 1996,816.00,4.88%,"6,014.78",1.83%,762.00,-1.68%,508.00,-7.97%,904.00,0.78%,,,563.00,-4.74%,,
Jul 1996,775.00,-5.02%,"5,903.83",-1.84%,734.00,-3.67%,476.00,-6.30%,902.00,-0.22%,,,549.00,-2.49%,,
Aug 1996,742.00,-4.26%,"5,811.23",-1.57%,725.00,-1.23%,513.00,7.77%,885.00,-1.88%,,,565.00,2.91%,,
Sep 1996,721.00,-2.83%,"5,925.11",1.96%,707.00,-2.48%,545.00,6.24%,879.00,-0.68%,,,569.00,0.71%,,
Oct 1996,722.00,0.14%,"6,023.87",1.67%,693.00,-1.98%,532.00,-2.39%,874.00,-0.57%,,,528.00,-7.21%,,
Nov 1996,760.00,5.26%,"6,235.91",3.52%,721.00,4.04%,550.00,3.38%,868.00,-0.69%,,,517.00,-2.08%,,
Dec 1996,777.00,2.24%,"6,241.91",0.10%,747.00,3.61%,561.00,2.00%,868.00,0.00%,,,514.00,-0.58%,,
Jan 1997,768.00,-1.16%,"6,225.94",-0.26%,754.00,0.94%,567.00,1.07%,874.00,0.69%,,,534.00,3.89%,,
Feb 1997,768.00,0.00%,"5,202.66",-16.44%,757.00,0.40%,580.00,2.29%,886.00,1.37%,,,527.00,-1.31%,,
Mar 1997,737.00,-4.04%,"4,815.96",-7.43%,730.00,-3.57%,559.00,-3.62%,896.00,1.13%,,,541.00,2.66%,,
Apr 1997,710.00,-3.66%,"4,235.24",-12.06%,705.00,-3.42%,562.00,0.54%,938.00,4.69%,,,541.00,0.00%,,
May 1997,654.00,-7.89%,"4,246.53",0.27%,668.00,-5.25%,553.00,-1.60%,981.00,4.58%,,,541.00,0.00%,,
Jun 1997,637.00,-2.60%,"3,452.36",-18.70%,635.00,-4.94%,533.00,-3.62%,"1,047.00",6.73%,,,550.00,1.66%,,
Jul 1997,597.00,-6.28%,"3,760.36",8.92%,594.00,-6.46%,498.00,-6.57%,"1,096.00",4.68%,,,535.00,-2.73%,,
Aug 1997,567.00,-5.03%,"3,607.56",-4.06%,556.00,-6.40%,504.00,1.20%,"1,093.00",-0.27%,,,544.00,1.68%,,
