Month,Inflation
Apr-20,2.67%
Maret 2020,2.96%
Februari 2020,2.98%
Januari 2020,2.68%
Desember 2019,2.72%
Nov-19,3%
Oktober 2019,3.13%
Sep-19,3.39%
Agustus 2019,3.49%
Juli 2019,3.32%
Juni 2019,3.28%
Mei 2019,3.32%
Apr-19,2.83%
Maret 2019,2.48%
Februari 2019,2.57%
Januari 2019,2.82%
Desember 2018,3.13%
Nov-18,3.23%
Oktober 2018,3.16%
Sep-18,2.88%
Agustus 2018,3.20%
Juli 2018,3.18%
Juni 2018,3.12%
Mei 2018,3.23%
Apr-18,3.41%
Maret 2018,3.40%
Februari 2018,3.18%
Januari 2018,3.25%
Desember 2017,3.61%
Nov-17,3.30%
Oktober 2017,3.58%
Sep-17,3.72%
Agustus 2017,3.82%
Juli 2017,3.88%
Juni 2017,4.37%
Mei 2017,4.33%
Apr-17,4.17%
Maret 2017,3.61%
Februari 2017,3.83%
Januari 2017,3.49%
Desember 2016,3.02%
Nov-16,3.58%
Oktober 2016,3.31%
Sep-16,3.07%
Agustus 2016,2.79%
Juli 2016,3.21%
Juni 2016,3.45%
Mei 2016,3.33%
Apr-16,3.60%
Maret 2016,4.45%
Februari 2016,4.42%
Januari 2016,4.14%
Desember 2015,3.35%
Nov-15,4.89%
Oktober 2015,6.25%
Sep-15,6.83%
Agustus 2015,7.18%
Juli 2015,7.26%
Juni 2015,7.26%
Mei 2015,7.15%
Apr-15,6.79%
Maret 2015,6.38%
Februari 2015,6.29%
Januari 2015,6.96%
Desember 2014,8.36%
Nov-14,6.23%
Oktober 2014,4.83%
Sep-14,4.53%
Agustus 2014,3.99%
Juli 2014,4.53%
Juni 2014,6.70%
Mei 2014,7.32%
Apr-14,7.25%
Maret 2014,7.32%
Februari 2014,7.75%
Januari 2014,8.22%
Desember 2013,8.38%
Nov-13,8.37%
Oktober 2013,8.32%
Sep-13,8.40%
Agustus 2013,8.79%
Juli 2013,8.61%
Juni 2013,5.90%
Mei 2013,5.47%
Apr-13,5.57%
Maret 2013,5.90%
Februari 2013,5.31%
Januari 2013,4.57%
Desember 2012,4.30%
Nov-12,4.32%
Oktober 2012,4.61%
Sep-12,4.31%
Agustus 2012,4.58%
Juli 2012,4.56%
Juni 2012,4.53%
Mei 2012,4.45%
Apr-12,4.50%
Maret 2012,3.97%
Februari 2012,3.56%
Januari 2012,3.65%
Desember 2011,3.79%
Nov-11,4.15%
Oktober 2011,4.42%
Sep-11,4.61%
Agustus 2011,4.79%
Juli 2011,4.61%
Juni 2011,5.54%
Mei 2011,5.98%
Apr-11,6.16%
Maret 2011,6.65%
Februari 2011,6.84%
Januari 2011,7.02%
Desember 2010,6.96%
Nov-10,6.33%
Oktober 2010,5.67%
Sep-10,5.80%
Agustus 2010,6.44%
Juli 2010,6.22%
Juni 2010,5.05%
Mei 2010,4.16%
Apr-10,3.91%
Maret 2010,3.43%
Februari 2010,3.81%
Januari 2010,3.72%
Desember 2009,2.78%
Nov-09,2.41%
Oktober 2009,2.57%
Sep-09,2.83%
Agustus 2009,2.75%
Juli 2009,2.71%
Juni 2009,3.65%
Mei 2009,6.04%
Apr-09,7.31%
Maret 2009,7.92%
Februari 2009,8.60%
Januari 2009,9.17%
Desember 2008,11.06%
Nov-08,11.68%
Oktober 2008,11.77%
Sep-08,12.14%
Agustus 2008,11.85%
Juli 2008,11.90%
Juni 2008,11.03%
Mei 2008,10.38%
Apr-08,8.96%
Maret 2008,8.17%
Februari 2008,7.40%
Januari 2008,7.36%
Desember 2007,6.59%
Nov-07,6.71%
Oktober 2007,6.88%
Sep-07,6.95%
Agustus 2007,6.51%
Juli 2007,6.06%
Juni 2007,5.77%
Mei 2007,6.01%
Apr-07,6.29%
Maret 2007,6.52%
Februari 2007,6.30%
Januari 2007,6.26%
Desember 2006,6.60%
Nov-06,5.27%
Oktober 2006,6.29%
Sep-06,14.55%
Agustus 2006,14.90%
Juli 2006,15.15%
Juni 2006,15.53%
Mei 2006,15.60%
Apr-06,15.40%
Maret 2006,15.74%
Februari 2006,17.92%
Januari 2006,17.03%
Desember 2005,17.11%
Nov-05,18.38%
Oktober 2005,17.89%
Sep-05,9.06%
Agustus 2005,8.33%
Juli 2005,7.84%
Juni 2005,7.42%
Mei 2005,7.40%
Apr-05,8.12%
Maret 2005,8.81%
Februari 2005,7.15%
Januari 2005,7.32%
Desember 2004,6.40%
Nov-04,6.18%
Oktober 2004,6.22%
Sep-04,6.27%
Agustus 2004,6.67%
Juli 2004,7.20%
Juni 2004,6.83%
Mei 2004,6.47%
Apr-04,5.92%
Maret 2004,5.11%
Februari 2004,4.60%
Januari 2004,4.82%
Desember 2003,5.16%
Nov-03,5.53%
Oktober 2003,6.48%
Sep-03,6.33%
Agustus 2003,6.51%
Juli 2003,6.27%
Juni 2003,6.98%
Mei 2003,7.15%
Apr-03,7.62%
Maret 2003,7.17%
Februari 2003,7.60%
Januari 2003,8.68%
Desember 2002,0%
