           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2021;Tahun;0.64;"DKI JAKARTA"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2021;Tahun;1.47;"JAWA BARAT"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2021;Tahun;1.91;"JAWA TENGAH"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2021;Tahun;2.42;"D I YOGYAKARTA"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2021;Tahun;1.84;"JAWA TIMUR"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2020;Tahun;0.59;"DKI JAKARTA"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2020;Tahun;1.13;"JAWA BARAT"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2020;Tahun;1.72;"JAWA TENGAH"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2020;Tahun;1.94;"D I YOGYAKARTA"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2020;Tahun;1.82;"JAWA TIMUR"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2019;Tahun;0.49653496132233;"DKI JAKARTA"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2019;Tahun;1.0948203640404;"JAWA BARAT"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2019;Tahun;1.5272261710412;"JAWA TENGAH"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2019;Tahun;1.7407734583619;"D I YOGYAKARTA"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2019;Tahun;1.7993553111727;"JAWA TIMUR"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2018;Tahun;0.51;"DKI JAKARTA"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2018;Tahun;1.32;"JAWA BARAT"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2018;Tahun;1.85;"JAWA TENGAH"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2018;Tahun;2.07;"D I YOGYAKARTA"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2018;Tahun;1.94;"JAWA TIMUR"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2017;Tahun;0.49;"DKI JAKARTA"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2017;Tahun;1.45;"JAWA BARAT"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2017;Tahun;2.21;"JAWA TENGAH"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2017;Tahun;2.19;"D I YOGYAKARTA"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2017;Tahun;1.87;"JAWA TIMUR"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2016;Tahun;0.46;"DKI JAKARTA"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2016;Tahun;1.49;"JAWA BARAT"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2016;Tahun;2.37;"JAWA TENGAH"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2016;Tahun;2.3;"D I YOGYAKARTA"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2016;Tahun;1.98;"JAWA TIMUR"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2015;Tahun;0.52;"DKI JAKARTA"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2015;Tahun;1.63;"JAWA BARAT"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2015;Tahun;2.44;"JAWA TENGAH"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2015;Tahun;2.93;"D I YOGYAKARTA"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2015;Tahun;2.06;"JAWA TIMUR"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2014;Tahun;0.6;"DKI JAKARTA"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2014;Tahun;1.39;"JAWA BARAT"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2014;Tahun;2.09;"JAWA TENGAH"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2014;Tahun;2.35;"D I YOGYAKARTA"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2014;Tahun;1.86;"JAWA TIMUR"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2013;Tahun;0.39;"DKI JAKARTA"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2013;Tahun;1.65;"JAWA BARAT"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2013;Tahun;2.37;"JAWA TENGAH"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2013;Tahun;2.13;"D I YOGYAKARTA"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2013;Tahun;2.07;"JAWA TIMUR"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2012;Tahun;0.56;"DKI JAKARTA"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2012;Tahun;1.62;"JAWA BARAT"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2012;Tahun;2.39;"JAWA TENGAH"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2012;Tahun;2.89;"D I YOGYAKARTA"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2012;Tahun;1.93;"JAWA TIMUR"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2011;Tahun;0.46;"DKI JAKARTA"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2011;Tahun;1.72;"JAWA BARAT"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2011;Tahun;2.58;"JAWA TENGAH"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2011;Tahun;2.48;"D I YOGYAKARTA"
"Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota";"Tidak Ada";2011;Tahun;2;"JAWA TIMUR"
