           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2021;Tahun;0.14;"DKI JAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2021;Tahun;0.38;"JAWA BARAT"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2021;Tahun;0.45;"JAWA TENGAH"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2021;Tahun;0.65;"D I YOGYAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2021;Tahun;0.43;"JAWA TIMUR"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2020;Tahun;0.11;"DKI JAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2020;Tahun;0.23;"JAWA BARAT"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2020;Tahun;0.34;"JAWA TENGAH"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2020;Tahun;0.46;"D I YOGYAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2020;Tahun;0.43;"JAWA TIMUR"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2019;Tahun;0.11121589784491;"DKI JAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2019;Tahun;0.24074275523263;"JAWA BARAT"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2019;Tahun;0.29909192392681;"JAWA TENGAH"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2019;Tahun;0.38353947497419;"D I YOGYAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2019;Tahun;0.45180659394575;"JAWA TIMUR"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2018;Tahun;0.11;"DKI JAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2018;Tahun;0.33;"JAWA BARAT"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2018;Tahun;0.45;"JAWA TENGAH"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2018;Tahun;0.5;"D I YOGYAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2018;Tahun;0.5;"JAWA TIMUR"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2017;Tahun;0.1;"DKI JAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2017;Tahun;0.37;"JAWA BARAT"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2017;Tahun;0.57;"JAWA TENGAH"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2017;Tahun;0.55;"D I YOGYAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2017;Tahun;0.45;"JAWA TIMUR"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2016;Tahun;0.08;"DKI JAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2016;Tahun;0.37;"JAWA BARAT"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2016;Tahun;0.63;"JAWA TENGAH"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2016;Tahun;0.59;"D I YOGYAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2016;Tahun;0.47;"JAWA TIMUR"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2015;Tahun;0.1;"DKI JAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2015;Tahun;0.43;"JAWA BARAT"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2015;Tahun;0.65;"JAWA TENGAH"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2015;Tahun;0.83;"D I YOGYAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2015;Tahun;0.52;"JAWA TIMUR"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2014;Tahun;0.13;"DKI JAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2014;Tahun;0.33;"JAWA BARAT"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2014;Tahun;0.51;"JAWA TENGAH"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2014;Tahun;0.61;"D I YOGYAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2014;Tahun;0.45;"JAWA TIMUR"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2013;Tahun;0.07;"DKI JAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2013;Tahun;0.44;"JAWA BARAT"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2013;Tahun;0.59;"JAWA TENGAH"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2013;Tahun;0.46;"D I YOGYAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2013;Tahun;0.5;"JAWA TIMUR"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2012;Tahun;0.15;"DKI JAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2012;Tahun;0.42;"JAWA BARAT"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2012;Tahun;0.57;"JAWA TENGAH"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2012;Tahun;0.75;"D I YOGYAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2012;Tahun;0.44;"JAWA TIMUR"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2011;Tahun;0.1;"DKI JAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2011;Tahun;0.43;"JAWA BARAT"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2011;Tahun;0.66;"JAWA TENGAH"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2011;Tahun;0.59;"D I YOGYAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2011;Tahun;0.46;"JAWA TIMUR"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2010;Tahun;0.17;"DKI JAKARTA"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2010;Tahun;0.42;"JAWA BARAT"
"Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota";"Tidak Ada";2010;Tahun;0.68;"JAWA TENGAH"
