Entity,Code,Year,Energy consumption per capita (kWh)
Afghanistan,AFG,1980,581.9322011701729
Afghanistan,AFG,1981,662.9127768258427
Afghanistan,AFG,1982,709.0752520499884
Afghanistan,AFG,1983,877.8458517674271
Afghanistan,AFG,1984,905.9483500229433
Afghanistan,AFG,1985,925.0072981789245
Afghanistan,AFG,1986,964.9744817467622
Afghanistan,AFG,1987,1581.082776199914
Afghanistan,AFG,1988,2797.1358827285253
Afghanistan,AFG,1989,2690.0195810590617
Afghanistan,AFG,1990,2548.0972301603288
Afghanistan,AFG,1991,1026.4392151297093
Afghanistan,AFG,1992,618.6195133901699
Afghanistan,AFG,1993,564.8946474710755
Afghanistan,AFG,1994,504.61205947294445
Afghanistan,AFG,1995,400.10513371652587
Afghanistan,AFG,1996,377.58864995650566
Afghanistan,AFG,1997,351.2640731244511
Afghanistan,AFG,1998,335.2900075250786
Afghanistan,AFG,1999,327.78881013782166
Afghanistan,AFG,2000,277.98526795187684
Afghanistan,AFG,2001,207.40919447262462
Afghanistan,AFG,2002,188.55372328127075
Afghanistan,AFG,2003,212.87345635150547
Afghanistan,AFG,2004,188.8130236611801
Afghanistan,AFG,2005,234.22562729204026
Afghanistan,AFG,2006,275.6553009934552
Afghanistan,AFG,2007,347.10321542341615
Afghanistan,AFG,2008,591.4737708693457
Afghanistan,AFG,2009,944.1174258784998
Afghanistan,AFG,2010,1137.3313877896937
Afghanistan,AFG,2011,1494.088124608361
Afghanistan,AFG,2012,1292.4096206944578
Afghanistan,AFG,2013,1016.6982191031916
Afghanistan,AFG,2014,889.3211058332085
Afghanistan,AFG,2015,956.5097224141339
Afghanistan,AFG,2016,1010.0135809558262
Africa,,1965,2178.8977374636593
Africa,,1966,2234.7898251523857
Africa,,1967,2197.197690659834
Africa,,1968,2259.6242260572694
Africa,,1969,2255.869648636362
Africa,,1970,2397.690302886779
Africa,,1971,2539.4488063073645
Africa,,1972,2623.5165922393094
Africa,,1973,2766.7324275021274
Africa,,1974,2823.6520833794725
Africa,,1975,2909.251397429753
Africa,,1976,3099.6192843677113
Africa,,1977,3171.160507748566
Africa,,1978,3202.707705151793
Africa,,1979,3414.3275096377297
Africa,,1980,3564.592414384077
Africa,,1981,3858.537957064783
Africa,,1982,4004.825516703239
Africa,,1983,3998.2163247598746
Africa,,1984,4013.4921545686775
Africa,,1985,4053.0581648298235
Africa,,1986,4034.5915517512954
Africa,,1987,4043.2870165404775
Africa,,1988,4216.725565290431
Africa,,1989,4114.843068165249
Africa,,1990,4136.531791078527
Africa,,1991,4024.4480733653645
Africa,,1992,3986.869220087039
Africa,,1993,3899.727158622817
Africa,,1994,3913.763867781757
Africa,,1995,3971.043851608681
Africa,,1996,3977.0072790567156
Africa,,1997,3954.684129290133
Africa,,1998,3919.0000288913666
Africa,,1999,3940.6826549704865
Africa,,2000,3936.8531469316536
Africa,,2001,3992.7751493393134
Africa,,2002,3940.4050924461726
Africa,,2003,4028.2758042436785
Africa,,2004,4212.244675247089
Africa,,2005,4137.91727164961
Africa,,2006,4108.038442635891
Africa,,2007,4148.625428672775
Africa,,2008,4302.813660396872
Africa,,2009,4269.159039961221
Africa,,2010,4296.283773565732
Africa,,2011,4201.56477134102
Africa,,2012,4237.314990362894
Africa,,2013,4239.018106681179
Africa,,2014,4255.6618497108475
Africa,,2015,4207.084500078212
Africa,,2016,4208.473927858552
Africa,,2017,4195.5852374848955
Africa,,2018,4222.12831838733
Africa,,2019,4219.738357749454
Albania,ALB,1980,19593.493516362283
Albania,ALB,1981,19309.499164340523
Albania,ALB,1982,19262.26165688172
Albania,ALB,1983,19617.037931247807
Albania,ALB,1984,19650.140831749315
Albania,ALB,1985,19281.702444208753
Albania,ALB,1986,18529.0445260184
Albania,ALB,1987,18167.942161984
Albania,ALB,1988,17945.01995114027
Albania,ALB,1989,16823.428617249847
Albania,ALB,1990,12260.900743213633
Albania,ALB,1991,9838.548874481708
Albania,ALB,1992,7867.091286198398
Albania,ALB,1993,6814.099658541471
Albania,ALB,1994,6500.023112742294
Albania,ALB,1995,7060.833925942821
Albania,ALB,1996,7943.222711874799
Albania,ALB,1997,7176.454668900002
Albania,ALB,1998,7626.302746168436
Albania,ALB,1999,6950.943290979827
Albania,ALB,2000,8728.864044531801
Albania,ALB,2001,8044.827866364218
Albania,ALB,2002,8683.17401441459
Albania,ALB,2003,10271.497581385504
Albania,ALB,2004,11219.718515542672
Albania,ALB,2005,11159.785563689666
Albania,ALB,2006,10470.27256353575
Albania,ALB,2007,8297.157593121292
Albania,ALB,2008,9379.119413166834
Albania,ALB,2009,10899.703667588296
Albania,ALB,2010,13182.737182761195
Albania,ALB,2011,9778.128484810515
Albania,ALB,2012,10007.813915305422
Albania,ALB,2013,12749.33148456956
Albania,ALB,2014,10990.27715989641
Albania,ALB,2015,11651.654001995848
Albania,ALB,2016,13668.121006139985
Algeria,DZA,1965,1972.8294848479006
Algeria,DZA,1966,2307.132465629234
Algeria,DZA,1967,2122.33164136678
Algeria,DZA,1968,2213.4158718567037
Algeria,DZA,1969,2380.495097238942
Algeria,DZA,1970,2534.0467520504667
Algeria,DZA,1971,2667.6801158828675
Algeria,DZA,1972,2915.031716209473
Algeria,DZA,1973,3381.0282547178876
Algeria,DZA,1974,3642.3254346883396
Algeria,DZA,1975,4233.559420750843
Algeria,DZA,1976,4801.150865121971
Algeria,DZA,1977,5127.934252678724
Algeria,DZA,1978,6259.9027632306925
Algeria,DZA,1979,7962.686580116046
Algeria,DZA,1980,9213.246830007285
Algeria,DZA,1981,10851.531554727402
Algeria,DZA,1982,12126.654855246274
Algeria,DZA,1983,12838.819336012133
Algeria,DZA,1984,11951.635730407923
Algeria,DZA,1985,11687.812822960326
Algeria,DZA,1986,12009.608283599258
Algeria,DZA,1987,11991.204806214353
Algeria,DZA,1988,12493.935943037679
Algeria,DZA,1989,11830.957002752491
Algeria,DZA,1990,12226.78628025009
Algeria,DZA,1991,11819.803963411365
Algeria,DZA,1992,11846.658261296141
Algeria,DZA,1993,10780.574633362281
Algeria,DZA,1994,10700.063743444034
Algeria,DZA,1995,10887.770164026844
Algeria,DZA,1996,10589.10639112465
Algeria,DZA,1997,10014.005011425477
Algeria,DZA,1998,10211.33067022641
Algeria,DZA,1999,10168.76347322137
Algeria,DZA,2000,9662.270703272858
Algeria,DZA,2001,9881.754084760207
Algeria,DZA,2002,10106.44176902703
Algeria,DZA,2003,10441.228925613315
Algeria,DZA,2004,10697.85409812988
Algeria,DZA,2005,11046.016881049776
Algeria,DZA,2006,11271.449100185666
Algeria,DZA,2007,11695.535261859048
Algeria,DZA,2008,12193.978575857187
Algeria,DZA,2009,12701.698525721175
Algeria,DZA,2010,12157.810697849183
Algeria,DZA,2011,12668.023971397999
Algeria,DZA,2012,13578.086494935482
Algeria,DZA,2013,14078.557059026114
Algeria,DZA,2014,15043.98439156469
Algeria,DZA,2015,15542.750063961439
Algeria,DZA,2016,15210.944341948758
Algeria,DZA,2017,15064.678401622072
Algeria,DZA,2018,15915.296792040115
Algeria,DZA,2019,16376.1021074445
American Samoa,ASM,1980,53332.90333939394
American Samoa,ASM,1981,60391.67223823529
American Samoa,ASM,1982,83808.84699714287
American Samoa,ASM,1983,48888.494727777776
American Samoa,ASM,1984,54034.654107894734
American Samoa,ASM,1985,51332.9214025
American Samoa,ASM,1986,48053.22544878049
American Samoa,ASM,1987,47567.43025581396
American Samoa,ASM,1988,45191.72977045454
American Samoa,ASM,1989,49778.207706521745
American Samoa,ASM,1990,51242.6609106383
American Samoa,ASM,1991,49151.12373061225
American Samoa,ASM,1992,49546.644698
American Samoa,ASM,1993,47256.17215882353
American Samoa,ASM,1994,45148.05363076923
American Samoa,ASM,1995,43119.49332830189
American Samoa,ASM,1996,42433.08016296297
American Samoa,ASM,1997,42685.432523636366
American Samoa,ASM,1998,41923.19265714286
American Samoa,ASM,1999,41187.75721929825
American Samoa,ASM,2000,39634.885601724134
American Samoa,ASM,2001,39634.885601724134
American Samoa,ASM,2002,39610.465218644065
American Samoa,ASM,2003,39610.465218644065
American Samoa,ASM,2004,38950.290798333335
American Samoa,ASM,2005,41375.816461666676
American Samoa,ASM,2006,42790.42655084747
American Samoa,ASM,2007,43528.192525862076
American Samoa,ASM,2008,44413.196935087726
American Samoa,ASM,2009,44291.845026315794
American Samoa,ASM,2010,45082.77083035715
American Samoa,ASM,2011,25726.72923035715
American Samoa,ASM,2012,25797.217414285715
American Samoa,ASM,2013,25726.72923035715
American Samoa,ASM,2014,25726.72923035715
American Samoa,ASM,2015,25726.72923035715
American Samoa,ASM,2016,26149.81201607143
Angola,AGO,1980,2032.490102421772
Angola,AGO,1981,1947.9343694560184
Angola,AGO,1982,2008.8635265720986
Angola,AGO,1983,2067.9296607135157
Angola,AGO,1984,1812.4041650650026
Angola,AGO,1985,2133.4426316904237
Angola,AGO,1986,2057.5098650775194
Angola,AGO,1987,2049.6000969501356
Angola,AGO,1988,2043.6177892031083
Angola,AGO,1989,1908.3057935224792
Angola,AGO,1990,1959.176754532411
Angola,AGO,1991,1986.2814240346152
Angola,AGO,1992,1950.6188198704274
Angola,AGO,1993,1853.5863401759082
Angola,AGO,1994,1750.5980850859007
Angola,AGO,1995,1819.2025048762996
Angola,AGO,1996,1691.8813769182693
Angola,AGO,1997,1844.3073587412587
Angola,AGO,1998,1605.082724934896
Angola,AGO,1999,1736.2666827062458
Angola,AGO,2000,1973.2956457578534
Angola,AGO,2001,2070.5285748672254
Angola,AGO,2002,2136.6880828129456
Angola,AGO,2003,2293.537949423321
Angola,AGO,2004,2450.961869991471
Angola,AGO,2005,2011.7121103838638
Angola,AGO,2006,2449.9530998560795
Angola,AGO,2007,2717.0043552021048
Angola,AGO,2008,3069.25668265118
Angola,AGO,2009,3369.9690524295993
Angola,AGO,2010,3510.120366318291
Angola,AGO,2011,3569.4499840976837
Angola,AGO,2012,3849.9658012239124
Angola,AGO,2013,3931.6969696813503
Angola,AGO,2014,4068.165428799644
Angola,AGO,2015,4062.5311848110027
Angola,AGO,2016,3605.8916880445186
Antigua and Barbuda,ATG,1980,28386.86790645161
Antigua and Barbuda,ATG,1981,23655.722004838713
Antigua and Barbuda,ATG,1982,33118.01380806452
Antigua and Barbuda,ATG,1983,18924.57797903226
Antigua and Barbuda,ATG,1984,23655.722004838713
Antigua and Barbuda,ATG,1985,23655.722004838713
Antigua and Barbuda,ATG,1986,21878.676762903226
Antigua and Barbuda,ATG,1987,27232.078311290326
Antigua and Barbuda,ATG,1988,27304.90837258065
Antigua and Barbuda,ATG,1989,27232.078311290326
Antigua and Barbuda,ATG,1990,27789.755777777777
Antigua and Barbuda,ATG,1991,27692.549284126984
Antigua and Barbuda,ATG,1992,27332.815096875
Antigua and Barbuda,ATG,1993,26433.797043939394
Antigua and Barbuda,ATG,1994,27876.15703432836
Antigua and Barbuda,ATG,1995,28858.78818695652
Antigua and Barbuda,ATG,1996,28522.884025714284
Antigua and Barbuda,ATG,1997,28499.484604166668
Antigua and Barbuda,ATG,1998,28109.080705479453
Antigua and Barbuda,ATG,1999,27359.581202666664
Antigua and Barbuda,ATG,2000,28133.245447368416
Antigua and Barbuda,ATG,2001,27767.87862337662
Antigua and Barbuda,ATG,2002,29387.597998717953
Antigua and Barbuda,ATG,2003,30497.376970886075
Antigua and Barbuda,ATG,2004,31235.89906625
Antigua and Barbuda,ATG,2005,31322.095475308644
Antigua and Barbuda,ATG,2006,31504.187525301204
Antigua and Barbuda,ATG,2007,32623.149626190483
Antigua and Barbuda,ATG,2008,32979.695878823535
Antigua and Barbuda,ATG,2009,33759.268571264365
Antigua and Barbuda,ATG,2010,32271.104265000005
Antigua and Barbuda,ATG,2011,31818.866553370786
Antigua and Barbuda,ATG,2012,32335.962190555558
Antigua and Barbuda,ATG,2013,31636.112080000006
Antigua and Barbuda,ATG,2014,31998.469615698923
Antigua and Barbuda,ATG,2015,32408.040462765963
Antigua and Barbuda,ATG,2016,32287.022368421058
Argentina,ARG,1965,14134.989684938177
Argentina,ARG,1966,14387.89461246706
Argentina,ARG,1967,14597.980441303258
Argentina,ARG,1968,14882.056044581752
Argentina,ARG,1969,15164.666108346288
Argentina,ARG,1970,14106.556376870989
Argentina,ARG,1971,14751.983302447405
Argentina,ARG,1972,14776.692470983737
Argentina,ARG,1973,15165.046366453384
Argentina,ARG,1974,15573.722802923103
Argentina,ARG,1975,14945.023113942552
Argentina,ARG,1976,15519.808151606625
Argentina,ARG,1977,15972.86207125419
Argentina,ARG,1978,16054.358026580987
Argentina,ARG,1979,16772.760203696478
Argentina,ARG,1980,16501.372467117613
Argentina,ARG,1981,15660.476249352274
Argentina,ARG,1982,15782.359175239591
Argentina,ARG,1983,16224.930050992827
Argentina,ARG,1984,15938.007784640684
Argentina,ARG,1985,15304.957039575527
Argentina,ARG,1986,16627.65443953686
Argentina,ARG,1987,17107.84551597871
Argentina,ARG,1988,17071.64321266974
Argentina,ARG,1989,16131.471903826181
Argentina,ARG,1990,15733.376330044392
Argentina,ARG,1991,15692.575618566038
Argentina,ARG,1992,16653.14308413636
Argentina,ARG,1993,16966.993220657932
Argentina,ARG,1994,17063.75282748435
Argentina,ARG,1995,17537.40615853308
Argentina,ARG,1996,18560.03480299904
Argentina,ARG,1997,18244.68444395019
Argentina,ARG,1998,18700.102530587083
Argentina,ARG,1999,18084.557204903504
Argentina,ARG,2000,18608.826743100162
Argentina,ARG,2001,18203.750344724867
Argentina,ARG,2002,17144.247662924743
