;provinsi;year;kebebasan_sipil;hak_politik;lembaga_demokrasi
32;MALUKU UTARA;2015;73.53;61;47.25
12;JAWA BARAT;2016;73.37;72.34;49.79
32;PAPUA BARAT;2011;93.59;43.99;50.03
27;SULAWESI TENGGARA;2013;84.32;28.95;50.32
34;PAPUA;2015;82.72;41.81;50.87
12;JAWA BARAT;2015;79.1;81.89;51.37
2;SUMATERA UTARA;2018;76.54;62.61;51.69
33;PAPUA BARAT;2015;92.33;39.48;51.81
24;KALIMANTAN UTARA;2015;98.1;83.65;52.05
15;JAWA TIMUR;2012;80.97;36.17;52.22
34;PAPUA;2019;93.08;51.16;52.61
2;SUMATERA UTARA;2012;73.85;49.82;53.01
33;PAPUA BARAT;2020;86.33;47.78;53.09
19;NUSA TENGGARA TIMUR;2014;85.92;65.13;53.12
33;PAPUA BARAT;2019;70.35;50.31;53.23
34;PAPUA;2016;92.15;41.13;53.45
34;PAPUA;2020;89.32;51.83;53.54
33;PAPUA BARAT;2016;93.67;38.05;53.85
32;MALUKU UTARA;2017;90.19;65.84;54.02
5;JAMBI;2016;84.39;65.63;54.48
12;JAWA BARAT;2018;74.9;64.78;54.8
2;SUMATERA UTARA;2013;73.65;49.5;54.9
28;GORONTALO;2012;73.25;50.76;55.59
2;SUMATERA UTARA;2016;82.71;62.29;56.13
34;PAPUA;2017;89.09;42.16;56.91
34;PAPUA;2018;84.36;47.9;57.05
33;PAPUA BARAT;2018;82.11;40.11;57.21
1;ACEH;2012;60.16;47.16;57.21
31;MALUKU;2015;76.04;63.2;57.43
2;SUMATERA UTARA;2020;77.33;60.27;57.52
32;MALUKU UTARA;2019;85.61;64.86;58.11
23;KALIMANTAN TIMUR;2013;92.14;55.36;58.2
27;SULAWESI TENGGARA;2012;91.39;29.5;58.44
20;KALIMANTAN BARAT;2013;97.54;49.36;58.61
3;SUMATERA BARAT;2016;51.01;54.33;58.82
12;JAWA BARAT;2017;73.61;71.02;59.16
7;BENGKULU;2013;71.57;49.28;59.28
10;KEP. RIAU;2016;85.43;71.28;59.48
32;PAPUA BARAT;2013;92.33;35.93;60.26
2;SUMATERA UTARA;2011;79.23;59.47;60.31
1;ACEH;2016;92.92;63.94;60.33
23;KALIMANTAN TIMUR;2016;78.25;78.35;60.36
25;SULAWESI UTARA;2016;96.31;70.42;60.62
20;KALIMANTAN BARAT;2017;97.15;76.36;60.85
13;JAWA TENGAH;2013;79.18;46.29;60.89
16;BANTEN;2016;83.47;68.3;60.99
6;SUMATERA SELATAN;2015;96.06;78.79;61
18;NUSA TENGGARA BARAT;2011;55.45;49.6;61.06
15;JAWA TIMUR;2011;71.58;40.32;61.23
32;PAPUA BARAT;2012;94.42;45.74;61.27
1;ACEH;2017;87.27;63.94;61.47
13;JAWA TENGAH;2015;79.44;67.28;61.48
7;BENGKULU;2011;94.1;59.47;61.63
7;BENGKULU;2012;77.76;48.93;61.79
28;SULAWESI TENGGARA;2015;91.14;56.95;61.99
0;INDONESIA;2016;76.45;70.11;62.05
30;MALUKU;2012;76.05;45.08;62.27
4;RIAU;2016;71.78;77.98;62.34
30;SULAWESI BARAT;2015;81.88;61.16;62.37
12;JAWA BARAT;2012;65.93;46.58;62.51
25;SULAWESI UTARA;2017;90.87;72.12;62.54
31;MALUKU UTARA;2011;90.04;32.61;62.56
8;LAMPUNG;2015;71.99;63.19;62.74
2;SUMATERA UTARA;2014;79.86;61.97;62.75
33;PAPUA BARAT;2017;92.42;39.05;63.14
11;DKI JAKARTA;2016;81.11;67.54;63.19
21;KALIMANTAN TENGAH;2013;81.89;50.69;63.21
6;SUMATERA SELATAN;2013;91.45;50.32;63.22
19;NUSA TENGGARA TIMUR;2020;90.59;75.61;63.23
31;MALUKU UTARA;2013;83.67;48.94;63.4
2;SUMATERA UTARA;2015;82.02;62.17;63.52
26;SULAWESI SELATAN;2014;86.27;73.99;63.58
15;JAWA TIMUR;2016;73.73;76.49;63.63
33;PAPUA;2014;85.69;42.51;63.75
9;KEP. BANGKA BELITUNG;2018;80.95;73.56;63.76
1;ACEH;2011;58.65;47.9;63.77
4;RIAU;2015;66.46;66.61;63.8
23;KALIMANTAN TIMUR;2015;93.07;82.74;63.99
8;LAMPUNG;2016;60.49;59.32;64.31
30;SULAWESI BARAT;2016;82.89;69.02;64.47
24;KALIMANTAN UTARA;2016;100;66.64;64.48
20;KALIMANTAN BARAT;2016;83.29;75.7;64.54
31;MALUKU;2019;87.06;55.62;64.55
22;KALIMANTAN SELATAN;2020;69.59;83.53;64.59
29;SULAWESI BARAT;2013;88.51;44.05;64.94
1;ACEH;2015;74.81;63.98;64.97
17;BALI;2015;94.42;77.42;65.31
24;SULAWESI UTARA;2013;92.44;62.55;65.56
10;KEP. RIAU;2017;90.84;71.45;65.82
12;JAWA BARAT;2014;83.95;65.22;65.89
24;SULAWESI UTARA;2011;98.44;52.86;66.03
10;KEP. RIAU;2015;80.16;65.01;66.13
28;GORONTALO;2013;79.31;58.26;66.22
18;NUSA TENGGARA BARAT;2013;59.68;49.6;66.24
26;SULAWESI TENGAH;2017;90.04;55.88;66.44
19;NUSA TENGGARA TIMUR;2016;96.25;81.68;66.46
33;PAPUA;2012;91.11;32.99;66.5
26;SULAWESI TENGAH;2015;94.6;68.85;66.53
6;SUMATERA SELATAN;2016;91.17;81.94;66.53
31;MALUKU UTARA;2012;88.15;50.13;66.55
32;MALUKU UTARA;2020;84.35;64.88;66.56
10;KEP. RIAU;2014;82.47;58.35;66.61
13;JAWA TENGAH;2016;66.06;67.24;66.69
0;INDONESIA;2015;80.3;70.63;66.87
28;SULAWESI TENGGARA;2019;80.31;52.18;66.9
17;BALI;2020;96.86;69.07;66.9
10;KEP. RIAU;2018;91.05;77.54;66.9
32;PAPUA BARAT;2014;97.93;39.29;66.93
21;KALIMANTAN TENGAH;2015;85.07;68.31;67.05
27;SULAWESI TENGGARA;2011;85.81;29.18;67.11
32;MALUKU UTARA;2016;92.27;61.79;67.59
25;SULAWESI UTARA;2020;93.18;74.83;67.8
20;KALIMANTAN BARAT;2015;96.81;65.57;67.95
28;GORONTALO;2011;81.8;44.36;68.08
23;KALIMANTAN TIMUR;2011;91.84;45.12;68.1
26;SULAWESI SELATAN;2013;81.3;50.62;68.1
31;MALUKU UTARA;2014;76.9;60.61;68.16
19;NUSA TENGGARA TIMUR;2013;95.59;58.83;68.23
29;SULAWESI BARAT;2011;94.8;42.65;68.26
31;MALUKU;2020;85.1;66.92;68.29
18;NUSA TENGGARA BARAT;2014;58.73;62.08;68.38
21;KALIMANTAN TENGAH;2016;84.98;70.66;68.43
21;KALIMANTAN TENGAH;2020;92.6;64.98;68.44
19;NUSA TENGGARA TIMUR;2019;93.97;78.58;68.62
7;BENGKULU;2019;93.98;73.17;68.63
16;BANTEN;2015;74.28;63.72;68.66
23;KALIMANTAN TIMUR;2017;83.33;67.18;68.72
29;GORONTALO;2017;85.3;68.18;68.73
20;KALIMANTAN BARAT;2019;92.59;71.45;68.74
26;SULAWESI TENGAH;2016;80.39;67.89;68.76
2;SUMATERA UTARA;2017;74.75;62.29;68.87
28;SULAWESI TENGGARA;2020;84.61;53.61;68.92
10;KEP. RIAU;2012;82.68;49.98;68.95
24;KALIMANTAN UTARA;2018;97.36;75.8;68.95
6;SUMATERA SELATAN;2017;90.83;63.9;69.03
5;JAMBI;2019;76.67;64.63;69.21
0;INDONESIA;2012;77.94;46.33;69.28
10;KEP. RIAU;2020;92.66;68.67;69.47
9;KEP. BANGKA BELITUNG;2015;81.25;66.95;69.6
23;KALIMANTAN TIMUR;2012;97.16;51.69;69.68
28;SULAWESI TENGGARA;2017;77.66;60.49;69.74
23;KALIMANTAN TIMUR;2014;93.28;70.42;69.94
33;PAPUA;2011;87.73;29.43;70.04
30;MALUKU;2014;90.85;60.03;70.09
31;MALUKU;2016;87.17;76.18;70.13
16;BANTEN;2012;79.2;51.03;70.42
8;LAMPUNG;2011;93.14;61.15;70.64
19;NUSA TENGGARA TIMUR;2015;93.19;71.69;70.73
12;JAWA BARAT;2019;65.16;71.15;70.75
27;SULAWESI SELATAN;2020;68.4;64.99;70.77
18;NUSA TENGGARA BARAT;2012;58.31;49.6;70.85
27;SULAWESI SELATAN;2016;75.54;61.51;70.86
27;SULAWESI TENGGARA;2014;90.89;53.2;70.92
33;PAPUA;2013;90.21;31.37;71.01
2;SUMATERA UTARA;2019;72.54;61.59;71.12
18;NUSA TENGGARA BARAT;2016;65.06;62.08;71.13
17;BALI;2016;96.94;69.6;71.18
25;SULAWESI TENGAH;2011;92.23;37.01;71.36
30;SULAWESI BARAT;2017;73.56;60.84;71.39
27;SULAWESI SELATAN;2015;69.38;64.25;71.84
30;MALUKU;2013;81.52;50.53;71.95
23;KALIMANTAN TIMUR;2018;90.99;61.38;72.22
27;SULAWESI SELATAN;2017;77.48;64.58;72.23
6;SUMATERA SELATAN;2019;80.54;81.95;72.23
0;INDONESIA;2013;79;46.25;72.24
31;MALUKU;2018;81.38;72.86;72.32
9;KEP. BANGKA BELITUNG;2011;88.27;47.11;72.33
8;LAMPUNG;2018;77.29;59.53;72.35
0;INDONESIA;2017;78.75;66.63;72.49
25;SULAWESI UTARA;2015;86.71;77.92;72.53
25;SULAWESI TENGAH;2012;93.43;37.65;72.55
7;BENGKULU;2020;87.61;59.64;72.76
9;KEP. BANGKA BELITUNG;2017;83.07;82.3;72.89
22;KALIMANTAN SELATAN;2016;61.04;83.58;72.89
5;JAMBI;2018;72.88;62.76;72.92
12;JAWA BARAT;2020;69.57;71.64;73.01
13;JAWA TENGAH;2011;84.05;46.29;73.04
20;KALIMANTAN BARAT;2018;93.87;64.01;73.08
10;KEP. RIAU;2019;92.66;78.3;73.1
6;SUMATERA SELATAN;2020;80.32;71.39;73.25
4;RIAU;2017;82.03;66.57;73.41
14;DI YOGYAKARTA;2017;93.25;82.31;73.55
10;KEP. RIAU;2011;87.15;56;73.66
7;BENGKULU;2017;88.51;59.42;74.03
7;BENGKULU;2018;78.77;62.18;74.13
7;BENGKULU;2014;79.49;63.98;74.16
5;JAMBI;2013;84.95;41.91;74.34
29;GORONTALO;2016;82.35;75.54;74.42
28;SULAWESI TENGGARA;2016;88.07;55.51;74.66
11;DKI JAKARTA;2013;88.72;55.08;74.69
4;RIAU;2014;74.35;59.74;74.69
0;INDONESIA;2011;80.79;47.54;74.72
1;ACEH;2020;84.49;64.94;74.91
16;BANTEN;2017;85.16;63.87;74.98
0;INDONESIA;2018;78.46;65.79;75.25
13;JAWA TENGAH;2018;76.21;66.92;75.42
30;SULAWESI BARAT;2020;86.38;61.09;75.45
9;KEP. BANGKA BELITUNG;2019;84.12;71.71;75.48
30;MALUKU;2011;90.7;46.14;75.61
7;BENGKULU;2015;78.5;68.45;75.61
