           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2018;Tahun;82.35;Kebebasan Berkumpul dan Berserikat
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2020;Tahun;56.06;Kebebasan Berpendapat
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2020;Tahun;86.57;Kebebasan Berkeyakinan
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2020;Tahun;90.88;Kebebasan dari Diskriminasi
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2020;Tahun;79.41;Hak Memilih dan Dipilih
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2020;Tahun;54;Partisipasi Politik dalam Pengambilan Keputusan dan Pengawasan
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2020;Tahun;85.75;Pemilu yang Bebas dan Adil
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2020;Tahun;64.94;Peran DPRD
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2020;Tahun;75.66;Peran Partai Politik
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2020;Tahun;59.72;Peran Birokrasi Pemerintah Daerah
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2020;Tahun;90.17;Peran Peradilan yang Independen
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2019;Tahun;78.03;Kebebasan Berkumpul dan Berserikat
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2019;Tahun;64.29;Kebebasan Berpendapat
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2019;Tahun;83.03;Kebebasan Berkeyakinan
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2019;Tahun;92.35;Kebebasan dari Diskriminasi
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2019;Tahun;79.27;Hak Memilih dan Dipilih
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2019;Tahun;56.72;Partisipasi Politik dalam Pengambilan Keputusan dan Pengawasan
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2019;Tahun;85.75;Pemilu yang Bebas dan Adil
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2019;Tahun;61.74;Peran DPRD
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2019;Tahun;80.62;Peran Partai Politik
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2019;Tahun;62.58;Peran Birokrasi Pemerintah Daerah
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2019;Tahun;93.66;Peran Peradilan yang Independen
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2017;Tahun;79.16;Kebebasan Berkumpul dan Berserikat
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2018;Tahun;66.168.382.352.941;Kebebasan Berpendapat
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2018;Tahun;82.855.436.381.074;Kebebasan Berkeyakinan
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2018;Tahun;91.765.196.078.431;Kebebasan dari Diskriminasi
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2018;Tahun;75.768.515.015.454;Hak Memilih dan Dipilih
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2018;Tahun;54.280.133.273.892;Partisipasi Politik dalam Pengambilan Keputusan dan Pengawasan
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2018;Tahun;9.548.162.187.775;Pemilu yang Bebas dan Adil
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2018;Tahun;58.924.381.630.926;Peran DPRD
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2018;Tahun;82.103.033.486.343;Peran Partai Politik
Indeks Demokrasi Indonesia (IDI) Menurut Variabel;Tidak Ada;2018;Tahun;5.573.948.747.678;Peran Birokrasi Pemerintah Daerah
