Entity;Year;kardio;Mutton and Goat (kilograms per year);Other meats (kilograms per person);Poultry (kilograms per year);Pigmeat (kilograms per year);Beef and bufallo (kilograms per year);total consumption
Indonesia;1990;278302;0.51;0.01;2.85;3.06;1.72;8.15
Indonesia;1991;285751;0.52;0.01;3.21;3.17;1.73;8.64
Indonesia;1992;294517;0.54;0.01;3.5;3.17;1.88;9.1
Indonesia;1993;303860;0.59;0.01;3.72;3.31;2.14;9.77
Indonesia;1994;312544;0.52;0.01;4.31;3.46;2.05;10.35
Indonesia;1995;321557;0.49;0.01;4.52;2.95;1.9;9.87
Indonesia;1996;331193;0.5;0.01;4.82;3.04;2.1;10.47
Indonesia;1997;342414;0.54;0.01;4.5;3.17;2.16;10.38
Indonesia;1998;354220;0.4;0.01;3.05;3.06;1.97;8.49
Indonesia;1999;366292;0.38;0.01;3.04;2.67;1.86;7.96
Indonesia;2000;380554;0.38;0.01;3.98;1.98;2.02;8.37
Indonesia;2001;394941;0.44;0.01;4.36;1.97;1.91;8.69
Indonesia;2002;410020;0.59;0.01;5.13;2.16;1.81;9.7
Indonesia;2003;424879;0.66;0.01;5.21;2.23;1.95;10.06
Indonesia;2004;440056;0.56;0.01;5.49;2.19;2.28;10.53
Indonesia;2005;455437;0.53;0.03;5.13;2.46;1.89;10.04
Indonesia;2006;469704;0.62;0.03;5.66;2.6;2.08;10.99
Indonesia;2007;484163;0.52;0.05;5.83;2.59;1.88;10.87
Indonesia;2008;500374;0.49;0.02;5.92;2.73;2.09;11.25
Indonesia;2009;514806;0.54;0.01;6.04;2.73;2.23;11.55
Indonesia;2010;527322;0.48;0.01;6.51;2.89;2.43;12.32
Indonesia;2011;540490;0.47;0.02;6.95;2.96;2.46;12.86
Indonesia;2012;558106;0.46;0.01;7.16;2.96;2.38;12.97
Indonesia;2013;573039;0.46;0.01;7.5;2.98;2.59;13.54
Indonesia;2014;587184;0.41;0.01;6.4;1.14;2.39;10.35
Indonesia;2015;603096;0.41;0.01;6.62;1.25;2.27;10.56
Indonesia;2016;614602;0.42;0.01;7.42;1.27;2.61;11.73
Indonesia;2017;626883;0.46;0.01;7.19;1.24;2.79;11.69
