country,iso3c,iso2c,year,"Intentional homicides (per 100,000 people)","Suicide mortality rate (per 100,000 population)",GDP (current US$),"GDP per capita, PPP (current international $)",adminregion,incomeLevel
Afghanistan,AFG,AF,1970,,,1748886595.55556,,South Asia,Low income
Afghanistan,AFG,AF,1971,,,1831108971.11111,,South Asia,Low income
Afghanistan,AFG,AF,1972,,,1595555475.55556,,South Asia,Low income
Afghanistan,AFG,AF,1973,,,1733333264.44444,,South Asia,Low income
Afghanistan,AFG,AF,1974,,,2155555497.77778,,South Asia,Low income
Afghanistan,AFG,AF,1975,,,2366666615.55556,,South Asia,Low income
Afghanistan,AFG,AF,1976,,,2555555566.66667,,South Asia,Low income
Afghanistan,AFG,AF,1977,,,2953333417.77778,,South Asia,Low income
Afghanistan,AFG,AF,1978,,,3300000108.88889,,South Asia,Low income
Afghanistan,AFG,AF,1979,,,3697940409.61098,,South Asia,Low income
Afghanistan,AFG,AF,1980,,,3641723321.99546,,South Asia,Low income
Afghanistan,AFG,AF,1981,,,3478787909.09091,,South Asia,Low income
Afghanistan,AFG,AF,1982,,,,,South Asia,Low income
Afghanistan,AFG,AF,1983,,,,,South Asia,Low income
Afghanistan,AFG,AF,1984,,,,,South Asia,Low income
Afghanistan,AFG,AF,1985,,,,,South Asia,Low income
Afghanistan,AFG,AF,1986,,,,,South Asia,Low income
Afghanistan,AFG,AF,1987,,,,,South Asia,Low income
Afghanistan,AFG,AF,1988,,,,,South Asia,Low income
Afghanistan,AFG,AF,1989,,,,,South Asia,Low income
Afghanistan,AFG,AF,1990,,,,,South Asia,Low income
Afghanistan,AFG,AF,1991,,,,,South Asia,Low income
Afghanistan,AFG,AF,1992,,,,,South Asia,Low income
Afghanistan,AFG,AF,1993,,,,,South Asia,Low income
Afghanistan,AFG,AF,1994,,,,,South Asia,Low income
Afghanistan,AFG,AF,1995,,,,,South Asia,Low income
Afghanistan,AFG,AF,1996,,,,,South Asia,Low income
Afghanistan,AFG,AF,1997,,,,,South Asia,Low income
Afghanistan,AFG,AF,1998,,,,,South Asia,Low income
Afghanistan,AFG,AF,1999,,,,,South Asia,Low income
Afghanistan,AFG,AF,2000,,4.9,,,South Asia,Low income
Afghanistan,AFG,AF,2001,,5.0,,,South Asia,Low income
Afghanistan,AFG,AF,2002,,5.0,4055179566.34981,877.01426830392,South Asia,Low income
Afghanistan,AFG,AF,2003,,5.0,4515558808.10994,927.857548047018,South Asia,Low income
Afghanistan,AFG,AF,2004,,5.0,5226778808.89209,925.441429176842,South Asia,Low income
Afghanistan,AFG,AF,2005,,5.0,6209137624.77181,1023.05174932878,South Asia,Low income
Afghanistan,AFG,AF,2006,,4.9,6971285594.68013,1077.76153966077,South Asia,Low income
Afghanistan,AFG,AF,2007,,4.8,9747879531.86311,1228.70386342946,South Asia,Low income
Afghanistan,AFG,AF,2008,,4.6,10109305182.952,1272.57297477768,South Asia,Low income
Afghanistan,AFG,AF,2009,3.9267744953,4.4,12416161048.8412,1519.69292278438,South Asia,Low income
Afghanistan,AFG,AF,2010,3.3681096075,4.3,15856678596.148,1710.57541109225,South Asia,Low income
Afghanistan,AFG,AF,2011,4.0873367236,4.1,17805113118.8938,1699.48811019742,South Asia,Low income
Afghanistan,AFG,AF,2012,6.2513281666,4.0,19907317065.6666,1914.77422837964,South Asia,Low income
Afghanistan,AFG,AF,2013,,4.0,20146404996.223,2015.51477466948,South Asia,Low income
Afghanistan,AFG,AF,2014,,3.9,20497126770.1335,2069.42402167356,South Asia,Low income
Afghanistan,AFG,AF,2015,9.7839217823,4.0,19134211763.859,2087.30532306683,South Asia,Low income
Afghanistan,AFG,AF,2016,6.5511634561,4.0,18116562464.9088,1981.11806850696,South Asia,Low income
Afghanistan,AFG,AF,2017,6.6784014409,4.1,18753469630.2586,2058.4002210698,South Asia,Low income
Afghanistan,AFG,AF,2018,6.6555611518,4.1,18053228578.8878,2082.63564821362,South Asia,Low income
Afghanistan,AFG,AF,2019,,4.1,18799450742.7823,2152.3664894209,South Asia,Low income
Afghanistan,AFG,AF,2020,,,20116137325.8206,2078.64861450906,South Asia,Low income
Africa Eastern and Southern,AFE,ZH,1970,,,40315782854.2986,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1971,,,44476662702.8768,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1972,,,48301485013.5712,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1973,,,62983498804.5895,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1974,,,78250886611.1516,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1975,,,83435565922.8584,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1976,,,83210426601.596,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1977,,,94988948105.4857,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1978,,,106346142736.477,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1979,,,124498228018.333,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1980,,,156512735720.642,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1981,,,160378053768.439,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1982,,,154669356787.555,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1983,,,159757514563.7,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1984,,,146021918891.396,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1985,,,130439822969.054,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1986,,,147025178146.934,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1987,,,179739456625.959,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1988,,,189003280051.478,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1989,,,194543353913.705,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1990,,,212336051488.558,1855.74663998526,,Aggregates
Africa Eastern and Southern,AFE,ZH,1991,,,220763711128.518,1867.26153205439,,Aggregates
Africa Eastern and Southern,AFE,ZH,1992,,,220218785937.895,1823.19983737466,,Aggregates
Africa Eastern and Southern,AFE,ZH,1993,,,234035169208.665,1813.34399199021,,Aggregates
Africa Eastern and Southern,AFE,ZH,1994,,,239088300074.374,1837.03077507219,,Aggregates
Africa Eastern and Southern,AFE,ZH,1995,,,269689336126.775,1907.75550809494,,Aggregates
Africa Eastern and Southern,AFE,ZH,1996,,,268440412907.73,1996.38855254642,,Aggregates
Africa Eastern and Southern,AFE,ZH,1997,,,282213512990.631,2052.78460762378,,Aggregates
Africa Eastern and Southern,AFE,ZH,1998,,,265837711929.972,2060.43750472849,,Aggregates
