Country/Territory;Code;Year;population
India;IDN;1990;873277798
India;IDN;1991;891273209
India;IDN;1992;909307016
India;IDN;1993;927403860
India;IDN;1994;945601831
India;IDN;1995;963922588
India;IDN;1996;982365243
India;IDN;1997;1000900030
India;IDN;1998;1019483581
India;IDN;1999;1038058156
India;IDN;2000;1056575549
India;IDN;2001;1075000085
India;IDN;2002;1093317189
India;IDN;2003;1111523144
India;IDN;2004;1129623456
India;IDN;2005;1147609927
India;IDN;2006;1165486291
India;IDN;2007;1183209472
India;IDN;2008;1200669765
India;IDN;2009;1217726215
India;IDN;2010;1234281170
India;IDN;2011;1250288729
India;IDN;2012;1265782790
India;IDN;2013;1280846129
India;IDN;2014;1295604184
India;IDN;2015;1310152403
India;IDN;2016;1324509589
India;IDN;2017;1338658835
India;IDN;2018;1352617328
India;IDN;2019;1366417754
Indonesia;IDN;1990;181413402
Indonesia;IDN;1991;184591903
Indonesia;IDN;1992;187739786
Indonesia;IDN;1993;190851175
Indonesia;IDN;1994;193917462
Indonesia;IDN;1995;196934260
Indonesia;IDN;1996;199901228
Indonesia;IDN;1997;202826446
Indonesia;IDN;1998;205724592
Indonesia;IDN;1999;208615169
Indonesia;IDN;2000;211513823
Indonesia;IDN;2001;214427417
Indonesia;IDN;2002;217357793
Indonesia;IDN;2003;220309469
Indonesia;IDN;2004;223285676
Indonesia;IDN;2005;226289470
Indonesia;IDN;2006;229318262
Indonesia;IDN;2007;232374245
Indonesia;IDN;2008;235469762
Indonesia;IDN;2009;238620563
Indonesia;IDN;2010;241834215
Indonesia;IDN;2011;245116206
Indonesia;IDN;2012;248452413
Indonesia;IDN;2013;251806402
Indonesia;IDN;2014;255129004
Indonesia;IDN;2015;258383256
Indonesia;IDN;2016;261554226
Indonesia;IDN;2017;264645886
Indonesia;IDN;2018;267663435
Indonesia;IDN;2019;270625568
