Country Name;year;GDP_USD;GDP_per_capita_USD
India;1990;320979000000.0;3,67557
India;1991;270105000000.0;3,03056
India;1992;288208000000.0;3,16954
India;1993;279296000000.0;3,01159
India;1994;327276000000.0;3,46103
India;1995;360282000000.0;3,73766
India;1996;392897000000.0;3,99950
India;1997;415868000000.0;4,15494
India;1998;421351000000.0;4,13299
India;1999;458820000000.0;4,41999
India;2000;468395000000.0;4,43314
India;2001;485441000000.0;4,51573
India;2002;514938000000.0;4,70987
India;2003;607699000000.0;5,46727
India;2004;709149000000.0;6,27774
India;2005;820382000000.0;7,14861
India;2006;940260000000.0;8,06753
India;2007;1216740000000.0;1,02833
India;2008;1198900000000.0;9,98522
India;2009;1341890000000.0;1,10196
India;2010;1675620000000.0;1,35756
India;2011;1823050000000.0;1,45810
India;2012;1827640000000.0;1,44388
India;2013;1856720000000.0;1,44961
India;2014;2039130000000.0;1,57389
India;2015;2103590000000.0;1,60561
India;2016;2294800000000.0;1,73255
India;2017;2651470000000.0;1,98067
India;2018;2702930000000.0;1,99826
India;2019;2831550000000.0;2,07224
Indonesia;1990;106141000000.0;5,85077
Indonesia;1991;116622000000.0;6,31783
Indonesia;1992;128027000000.0;6,81938
Indonesia;1993;158007000000.0;8,27905
Indonesia;1994;176892000000.0;9,12203
Indonesia;1995;202132000000.0;1,02639
Indonesia;1996;227370000000.0;1,13741
Indonesia;1997;215749000000.0;1,06371
Indonesia;1998;95445547873.0;4,63948
Indonesia;1999;140001000000.0;6,71099
Indonesia;2000;165021000000.0;7,80190
Indonesia;2001;160447000000.0;7,48258
Indonesia;2002;195661000000.0;9,00178
Indonesia;2003;234772000000.0;1,06565
Indonesia;2004;256837000000.0;1,15026
Indonesia;2005;285869000000.0;1,26329
Indonesia;2006;364571000000.0;1,58980
Indonesia;2007;432217000000.0;1,86000
Indonesia;2008;510229000000.0;2,16685
Indonesia;2009;539580000000.0;2,26125
Indonesia;2010;755094000000.0;3,12236
Indonesia;2011;892969000000.0;3,64305
Indonesia;2012;917870000000.0;3,69436
Indonesia;2013;912524000000.0;3,62393
Indonesia;2014;890815000000.0;3,49164
Indonesia;2015;860854000000.0;3,33170
Indonesia;2016;931877000000.0;3,56282
Indonesia;2017;1015620000000.0;3,83758
Indonesia;2018;1042270000000.0;3,89386
Indonesia;2019;1119100000000.0;4,13523
