;Entity;Code;Year;Prevalence - Schizophrenia - Sex: Both - Age: Age-standardized (Percent);Prevalence - Bipolar disorder - Sex: Both - Age: Age-standardized (Percent);Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent);Prevalence - Anxiety disorders - Sex: Both - Age: Age-standardized (Percent);Prevalence - Drug use disorders - Sex: Both - Age: Age-standardized (Percent);Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent);Prevalence - Alcohol use disorders - Sex: Both - Age: Age-standardized (Percent);Total;GDP;population
1;India;IND;1991;0.283901656937;0.35967684705742;0.08762800249159;300.525.244.239.824;0.44149624031492;418.420.098.069.532;161.895.256.848.337;9.981.108.738.377.860;3030.55;891273209
2;India;IND;1992;0.28410900832346;0.35966006791121;0.08816289736437;298.830.959.361.258;0.44290367686793;431.238.565.537.843;161.932.298.150.598;1.009.485.388.096.390;3169.53;909307016
3;India;IND;1993;0.2842597212316;0.35963138113466;0.08872662006319;296.920.898.758.928;0.44401806295565;441.498.016.649.574;161.950.897.952.292;10.180.333.918.993.000;3011.59;927403860
4;India;IND;1994;0.2843494157498;0.35959329605063;0.08927922632259;294.901.883.647.828;0.4447984665285899;448.443.349.245.103;16.193.116.096.489.500;10.230.784.343.229.800;3461.02;945601831
5;India;IND;1995;0.28437523227837;0.35954668156064;0.08984235559345;292.866.764.672.668;0.44525396392296;4.512.358.313.966.310;161.873.829.929.408;10.238.782.493.342.400;3737.66;963922588
6;India;IND;1996;0.2843254711180999;0.35951429035371;0.09046746928355;288.904.194.462.059;0.44505621286884;4.504.917.581.538.390;161.951.794.760.774;10.192.840.917.390.900;3999.5;982365243
7;India;IND;1997;0.28421376862496;0.3595028663570699;0.09113557040091;282.385.282.211.765;0.44444717837366;447.915.908.327.227;16.225.760.740.346.400;1.010.488.736.318.110;4154.93;1000900030
8;India;IND;1998;0.28408469782982;0.3595019357586;0.09193313192132;275.326.791.906.724;0.4435423470702699;444.784.826.052.474;162.681.240.739.786;10.006.990.699.569.800;4132.98;1019483581
9;India;IND;1999;0.28398155299432;0.35949977164441;0.09278109013069;26.972.736.549.233.100;0.44272401682119;442.191.763.346.524;163.106.735.477.423;992.924.507.475.339;4419.98;1038058156
10;India;IND;2000;0.2839475143293899;0.35948807587901;0.09367165256097;26.758.617.198.064;0.44251951619445;441.378.633.224.888;16.340.578.625.927.900;99.033.326.736.119;4433.14;1056575549
