Country;Year;Unemployment
India;1991;5.6
India;1992;5.73
India;1993;5.69
India;1994;5.74
India;1995;5.76
India;1996;5.74
India;1997;5.61
India;1998;5.67
India;1999;5.74
India;2000;5.56
India;2001;5.58
India;2002;5.53
India;2003;5.64
India;2004;5.63
India;2005;5.61
India;2006;5.6
India;2007;5.57
India;2008;5.41
India;2009;5.54
India;2010;5.55
India;2011;5.43
India;2012;5.41
India;2013;5.42
India;2014;5.44
India;2015;5.43
India;2016;5.42
India;2017;5.36
India;2018;5.33
India;2019;5.27
Indonesia;1991;2.62
Indonesia;1992;2.73
Indonesia;1993;2.78
Indonesia;1994;4.37
Indonesia;1995;4.6
Indonesia;1996;4.86
Indonesia;1997;4.68
Indonesia;1998;5.46
Indonesia;1999;6.36
Indonesia;2000;6.08
Indonesia;2001;6.08
Indonesia;2002;6.6
Indonesia;2003;6.66
Indonesia;2004;7.3
Indonesia;2005;7.94
Indonesia;2006;7.55
Indonesia;2007;8.06
Indonesia;2008;7.21
Indonesia;2009;6.11
Indonesia;2010;5.61
Indonesia;2011;5.15
Indonesia;2012;4.47
Indonesia;2013;4.34
Indonesia;2014;4.05
Indonesia;2015;4.51
Indonesia;2016;4.3
Indonesia;2017;3.88
Indonesia;2018;4.4
Indonesia;2019;3.62
