ID;Country;Year;Schizophrenia;Bipolar Disorder;Eating Disorders;Anxiety Disorders;Drug Use Disorders;Depressive Disorders;Alcohol Use Disorders;Total;Population;GDP Per Capita;Unemployment
IND1991;India;1991;0,283901657;0,359676847;0,087628002;3,005252442;0,44149624;4,184200981;1,618952568;9,981108738;891273209;3030,55;5,6
IND1992;India;1992;0,284109008;0,359660068;0,088162897;2,988309594;0,442903677;4,312385655;1,619322982;10,094853881;909307016;3169,53;5,73
IND1993;India;1993;0,284259721;0,359631381;0,08872662;2,969208988;0,444018063;4,414980166;1,619508980;10,180333919;927403860;3011,59;5,69
IND1994;India;1994;0,284349416;0,359593296;0,089279226;2,949018836;0,444798467;4,484433492;1,619311610;10,230784343;945601831;3461,02;5,74
IND1995;India;1995;0,284375232;0,359546682;0,089842356;2,928667647;0,445253964;4,512358314;1,618738299;10,238782493;963922588;3737,66;5,76
IND1996;India;1996;0,284325471;0,35951429;0,090467469;2,889041945;0,445056213;4,504917582;1,619517948;10,192840917;982365243;3999,5;5,74
IND1997;India;1997;0,284213769;0,359502866;0,09113557;2,823852822;0,444447178;4,479159083;1,622576074;10,104887363;1000900030;4154,93;5,61
IND1998;India;1998;0,284084698;0,359501936;0,091933132;2,753267919;0,443542347;4,447848261;1,626812407;10,006990700;1019483581;4132,98;5,67
IND1999;India;1999;0,283981553;0,359499772;0,09278109;2,697273655;0,442724017;4,421917633;1,631067355;9,929245075;1038058156;4419,98;5,74
IND2000;India;2000;0,283947514;0,359488076;0,093671653;2,675861720;0,442519516;4,413786332;1,634057863;9,903332674;1056575549;4433,14;5,56
IND2001;India;2001;0,28404088;0,359504205;0,094661307;2,681428414;0,442259272;4,433913882;1,638343964;9,934151923;1075000085;4515,72;5,58
IND2002;India;2002;0,284250056;0,359575966;0,095855779;2,692071304;0,442164659;4,473846364;1,645351490;9,993115618;1093317189;4709,86;5,53
IND2003;India;2003;0,284514649;0,359685283;0,097127382;2,706141713;0,441975002;4,519974185;1,652088392;10,061506607;1111523144;5467,26;5,64
IND2004;India;2004;0,284775238;0,359814781;0,098485846;2,721997170;0,441885104;4,557148048;1,655716239;10,119822427;1129623456;6277,74;5,63
IND2005;India;2005;0,284971904;0,359943842;0,0999729;2,737954456;0,441963775;4,570809570;1,653416224;10,149032671;1147609927;7148,61;5,61
IND2006;India;2006;0,285120291;0,360140638;0,101538391;2,775081376;0,444177354;4,491986603;1,621960924;10,080005578;1165486291;8067,53;5,6
IND2007;India;2007;0,285291442;0,360450794;0,103503334;2,842711344;0,448936245;4,308248065;1,553993032;9,903134256;1183209472;1028,33;5,57
IND2008;India;2008;0,285513561;0,360826481;0,105650038;2,921394766;0,454618004;4,087367404;1,470625313;9,685995566;1200669765;9985,22;5,41
IND2009;India;2009;0,285799759;0,361200116;0,107819079;2,991427595;0,459547059;3,899408344;1,393008654;9,498210604;1217726215;1101,96;5,54
IND2010;India;2010;0,286153521;0,361490051;0,110004426;3,032851734;0,462003338;3,814205092;1,342485123;9,409193285;1234281170;1357,56;5,55
IND2011;India;2011;0,287054334;0,361706801;0,112213367;3,052751487;0,462492552;3,806569843;1,313871337;9,396659723;1250288729;1458,1;5,43
IND2012;India;2012;0,288682335;0,361914963;0,114527643;3,071212347;0,462605557;3,804011817;1,288703264;9,391657926;1265782790;1443,88;5,41
IND2013;India;2013;0,290590607;0,362108763;0,116913107;3,087611767;0,462595704;3,804581218;1,268615682;9,393016849;1280846129;1449,61;5,42
IND2014;India;2014;0,292328441;0,362280822;0,119491442;3,101271502;0,462946463;3,806127988;1,255238464;9,399685121;1295604184;1573,88;5,44
IND2015;India;2015;0,293441513;0,362423482;0,122116043;3,111434747;0,46366543;3,805889697;1,250184629;9,409155542;1310152403;1605,6;5,43
IND2016;India;2016;0,294215813;0,362455828;0,125390035;3,119855289;0,491247403;3,804209772;1,251666213;9,449040354;1324509589;1732,55;5,42
IND2017;India;2017;0,29465624;0,362466259;0,128380397;3,124202230;0,519049377;3,801986310;1,252053350;9,482794163;1338658835;1980,66;5,36
IND2018;India;2018;0,293955664;0,362588878;0,130530719;3,098617818;0,51967275;3,784610230;1,227762437;9,417738496;1352617328;1998,25;5,33
IND2019;India;2019;0,292178003;0,362773952;0,132427416;3,039747410;0,520044214;3,749034091;1,176155954;9,272361040;1366417754;2072,24;5,27
IDN1991;Indonesia;1991;0,2874128;0,33745454;0,084439726;3,470776713;0,428922222;2,469730894;0,467286703;7,546023600;184591903;6317,82;2,62
IDN1992;Indonesia;1992;0,288670171;0,337732618;0,085616482;3,480024347;0,429704901;2,461516465;0,465488870;7,548753853;187739786;6819,38;2,73
IDN1993;Indonesia;1993;0,289781221;0,338023052;0,086667537;3,488512923;0,430510769;2,455094300;0,464167442;7,552757244;190851175;8279,05;2,78
IDN1994;Indonesia;1994;0,290686045;0,338311477;0,08754326;3,495688524;0,431307009;2,451116872;0,463470150;7,558123338;193917462;9122,03;4,37
IDN1995;Indonesia;1995;0,291324828;0,338583387;0,088199124;3,501040020;0,431859181;2,450104137;0,463541552;7,564652228;196934260;1026,39;4,6
IDN1996;Indonesia;1996;0,29180442;0,338927152;0,088606928;3,506250708;0,433243309;2,451423623;0,464364996;7,574621137;199901228;1137,41;4,86
IDN1997;Indonesia;1997;0,29228077;0,339375657;0,089118978;3,513122880;0,436163441;2,454301654;0,465685517;7,590048897;202826446;1063,71;4,68
IDN1998;Indonesia;1998;0,292742969;0,339883397;0,089423561;3,520529526;0,439265375;2,457622660;0,467216248;7,606683735;205724592;4639,48;5,46
IDN1999;Indonesia;1999;0,293182338;0,340395234;0,089772656;3,527392902;0,44198112;2,461404426;0,468679633;7,622808309;208615169;6710,98;6,36
IDN2000;Indonesia;2000;0,29357527;0,34083768;0,090213612;3,532460645;0,443518976;2,464035855;0,469773602;7,634415640;211513823;7801,9;6,08
IDN2001;Indonesia;2001;0,294046853;0,341396397;0,090555287;3,536951617;0,443907319;2,467477342;0,470551180;7,644885995;214427417;7482,57;6,08
IDN2002;Indonesia;2002;0,294700752;0,342192418;0,090948207;3,543109851;0,444564364;2,472160168;0,471342868;7,659018628;217357793;9001,77;6,6
IDN2003;Indonesia;2003;0,295431674;0,343088183;0,091327562;3,550148796;0,445300044;2,477074854;0,472236179;7,674607291;220309469;1065,64;6,66
IDN2004;Indonesia;2004;0,296090235;0,343885537;0,091790438;3,556929458;0,445884196;2,481473706;0,473215843;7,689269413;223285676;1150,26;7,3
IDN2005;Indonesia;2005;0,296493431;0,344339535;0,092353511;3,561664315;0,446310853;2,482923330;0,474274879;7,698359854;226289470;1263,28;7,94
IDN2006;Indonesia;2006;0,296558398;0,344392002;0,092928985;3,565726709;0,446586028;2,478462995;0,477160560;7,701815678;229318262;1589,8;7,55
